iso3,data_id,indicator,value,precision,dhs_country_code,country_name,survey_year,survey_id,indicator_id,indicator_order,indicator_type,characteristic_id,characteristic_order,characteristic_category,characteristic_label,by_variable_id,by_variable_label,is_total,is_preferred,sdrid,survey_year_label,survey_type,denominator_weighted,denominator_unweighted
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,ZA,#country+name,#date+year,#survey+id,#indicator+code,231233615,I,10000,10000,Total 15-49,Total 15-49,#indicator+label+code,#indicator+label,1,1,EDLITRWSCH,2016,DHS,5858,7492
ZAF,563770,Women with secondary or higher education,11.8,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_SCH,231233011.9,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWSCH,2016,DHS,8514,11805
ZAF,563771,Women who can read a whole sentence,76.2,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_RDW,231233020,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWRDW,2016,DHS,8514,11805
ZAF,563772,Women who can read part of a sentence,8.2,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_RDP,231233030,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWRDP,2016,DHS,8514,11805
ZAF,563773,Women who cannot read at all,3.5,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_NRD,231233040,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWNRD,2016,DHS,8514,11805
ZAF,563769,Women for whom no card with required language was available,0.1,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_NCD,231233050,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWNCD,2016,DHS,8514,11805
ZAF,563774,Women who are blind/visually impaired,0.1,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_BLD,231233060,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWBLD,2016,DHS,8514,11805
ZAF,563775,Women's literacy: Total,100,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_TOT,231233080,T,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWTOT,2016,DHS,8514,11805
ZAF,563776,Women who are literate,96.3,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_LIT,231233090,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWLIT,2016,DHS,8514,11805
ZAF,569331,Number of women,8514,0,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_NUM,231233100,D,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWNUM,2016,DHS,5858,11805
ZAF,354034,Number of women (unweighted),11805,0,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_UNW,231233110,U,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRWUNW,2016,DHS,8514,7492
ZAF,494492,Men with secondary or higher education,10.8,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_SCH,231234120,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRMSCH,2016,DHS,3202,3179
ZAF,494494,Men who can read a whole sentence,71.4,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_RDW,231234130,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRMRDW,2016,DHS,3202,3179
ZAF,494493,Men who can read part of a sentence,12.8,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_RDP,231234140,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRMRDP,2016,DHS,3202,3179
ZAF,494495,Men who cannot read at all,4.9,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_NRD,231234150,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRMNRD,2016,DHS,3202,3179
ZAF,494489,Men for whom no card with required language was available,0.1,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_NCD,231234160,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRMNCD,2016,DHS,3202,3179
ZAF,494490,Men who are blind/visually impaired,0,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_BLD,231234170,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRMBLD,2016,DHS,3202,3179
ZAF,494491,Men's literacy: Total,100,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_TOT,231234190,T,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRMTOT,2016,DHS,3202,3179
ZAF,494496,Men who are literate,94.9,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_LIT,231234200,I,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRMLIT,2016,DHS,3202,3179
ZAF,498913,Number of men,3202,0,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_NUM,231234210,D,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRMNUM,2016,DHS,5858,3179
ZAF,326141,Number of men (unweighted),3179,0,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_UNW,231234218.1,U,10000,10000,Total 15-49,Total 15-49,0,#indicator+label,1,1,EDLITRMUNW,2016,DHS,3202,7492
