iso3,data_id,indicator,value,precision,dhs_country_code,country_name,survey_year,survey_id,indicator_id,indicator_order,indicator_type,characteristic_id,characteristic_order,characteristic_category,characteristic_label,by_variable_id,by_variable_label,is_total,is_preferred,sdrid,survey_year_label,survey_type,denominator_weighted,denominator_unweighted
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,ZA,#country+name,#date+year,#survey+id,#indicator+code,93966040,I,1000,0,Total,Total,#indicator+label+code,#indicator+label,1,0.5,CHARISCARI,2016,DHS,913,862
ZAF,598577,Children with symptoms of ARI,21.9,1,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_ARI,93966010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCARI,1998,DHS,2912,2958
ZAF,397915,Children with symptoms of ARI,19.3,1,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_ARI,93966010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCARI,1998,DHS,4740,4797
ZAF,598578,Number of children born in the last five (or three) years,2912,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_NUM,93966020,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCNUM,1998,DHS,913,2958
ZAF,384931,Number of children born in the last five (or three) years,4740,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_NUM,93966020,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCNUM,1998,DHS,913,4797
ZAF,139860,Number of children born in the last five (or three) years (unweighted),2958,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_UNW,93966030,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCUNW,1998,DHS,2912,862
ZAF,26068,Number of children born in the last five (or three) years (unweighted),4797,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_UNW,93966030,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCUNW,1998,DHS,4740,862
ZAF,450750,Children with ARI for whom advice or treatment was sought,81.9,1,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_ADV,93966040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCADV,1998,DHS,637,607
ZAF,665172,Children with ARI for whom advice or treatment was sought,78.2,1,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_ADV,93966040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCADV,1998,DHS,913,862
ZAF,457030,Number of children with symptoms of ARI born in the last five (or three) years,637,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_NM2,93966060,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCNM2,1998,DHS,913,607
ZAF,658945,Number of children with symptoms of ARI born in the last five (or three) years,913,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_NM2,93966060,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCNM2,1998,DHS,913,862
ZAF,320333,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),607,0,ZA,South Africa,1998,ZA1998DHS,CH_ARIS_C_UN2,93966070,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCUN2,1998,DHS,637,862
