"value_log","value_log_scaled","precision_scaled","characteristic_order_scaled","indicator_order_scaled","data_quality_score_scaled","is_preferred","high_precision","indicator_encoded","survey_cohort","dataset_source_encoded","char_order_quintile","indicator_importance","sample_size_tier","by_var_0","by_var_14000","by_var_14001","by_var_14002","by_var_Other","type_D","type_I","type_S","type_T","type_U","char_Five.year.periods","char_Source.of.vaccination.information","char_Total","char_Total.15.49"
0.262364264467491,-1.58714970178977,0.660268182408527,-0.322739570245733,1.87987303726775,0.624930350684553,1,1,84,79,7,4,"Low","Large",1,0,0,0,0,0,1,0,0,0,0,0,1,0
4.36944785246702,0.102744868882244,0.660268182408527,-0.322739570245733,-0.50196050364816,0.624930350684553,1,1,208,65,5,2,"Low","Medium",1,0,0,0,0,0,1,0,0,0,0,0,1,0
4.49200148788245,0.153170607406239,0.660268182408527,-0.322739570245733,-0.660064172472315,-1.59803618246479,0,1,199,45,1,2,"Low","Medium",0,1,0,0,0,0,1,0,0,0,0,0,1,0
0.993251773010283,-1.28641980282512,0.660268182408527,-0.322739570245733,-0.659453106090204,-1.59803618246479,0,1,12,74,1,1,"Low","Medium",0,0,1,0,0,0,0,1,0,0,0,0,1,0
3.8649313978943,-0.104842729258756,0.660268182408527,-0.322739570245733,-0.501503423554955,-1.59803618246479,0,1,30,1,1,2,"Low","Small",0,1,0,0,0,0,1,0,0,0,0,0,1,0
4.54435804659133,0.174713160024289,0.660268182408527,-0.322739570245733,-0.663157467339243,0.624930350684553,1,1,3,30,1,1,"Low","Medium",0,0,0,1,0,0,1,0,0,0,0,0,1,0
2.76631910922619,-0.556876125247677,0.660268182408527,-0.322739570245733,-1.43202305231487,0.624930350684553,1,1,291,53,3,4,"Low","Medium",1,0,0,0,0,0,1,0,0,0,0,0,1,0
4.44851637594271,0.135278287223922,0.660268182408527,-0.322739570245733,-0.660063257702282,-1.59803618246479,0,1,196,59,1,1,"Low","Medium",0,1,0,0,0,0,1,0,0,0,0,0,1,0
6.45362499889269,0.9602973312559,-1.51250861168473,-0.322739570245733,-0.499519592276505,0.624930350684553,1,1,129,44,1,1,"Low","Medium",0,0,1,0,0,0,0,0,0,1,0,0,1,0
4.54648118963941,0.175586745339228,0.660268182408527,-0.322739570245733,-0.502418650973071,0.624930350684553,1,1,40,25,5,2,"Low","Small",1,0,0,0,0,0,1,0,0,0,0,0,1,0
4.57161340245925,0.185927608650925,0.660268182408527,-0.322739570245733,-0.663157467339243,0.624930350684553,1,1,3,44,1,1,"Low","Medium",0,0,0,1,0,0,1,0,0,0,0,0,1,0
4.12874598893943,0.00370603424191185,0.660268182408527,3.35252846989465,-0.502720372622322,-1.59803618246479,0,1,48,19,5,5,"Low","Small",0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,-1.69510171605056,0.660268182408527,-0.322739570245733,1.88095383806185,0.624930350684553,1,1,215,85,7,4,"Low","Large",1,0,0,0,0,0,1,0,0,0,0,0,1,0
