column,missing_pct
ISO3,0.0
DataId,0.0
Indicator,0.0
Value,0.0
Precision,0.0
DHS_CountryCode,0.36
CountryName,0.0
SurveyYear,0.0
SurveyId,0.0
IndicatorId,0.0
IndicatorOrder,0.36
IndicatorType,0.36
CharacteristicId,0.36
CharacteristicOrder,0.36
CharacteristicCategory,0.36
CharacteristicLabel,0.36
ByVariableId,0.0
ByVariableLabel,4.71
IsTotal,0.36
IsPreferred,0.36
SDRID,0.36
RegionId,100.0
SurveyYearLabel,0.36
SurveyType,0.36
DenominatorWeighted,12.68
DenominatorUnweighted,12.68
CILow,100.0
CIHigh,100.0
LevelRank,100.0
