column,missing_pct
ISO3,0.0
DataId,0.0
Indicator,0.0
Value,0.0
Precision,0.0
DHS_CountryCode,2.63
CountryName,0.0
SurveyYear,0.0
SurveyId,0.0
IndicatorId,0.0
IndicatorOrder,2.63
IndicatorType,2.63
CharacteristicId,2.63
CharacteristicOrder,2.63
CharacteristicCategory,2.63
CharacteristicLabel,2.63
ByVariableId,0.0
ByVariableLabel,97.37
IsTotal,2.63
IsPreferred,2.63
SDRID,2.63
RegionId,100.0
SurveyYearLabel,2.63
SurveyType,2.63
DenominatorWeighted,13.16
DenominatorUnweighted,13.16
CILow,100.0
CIHigh,100.0
LevelRank,100.0
