column,missing_pct
ISO3,0.0
DataId,0.0
Indicator,0.0
Value,0.0
Precision,0.0
DHS_CountryCode,3.7
CountryName,0.0
SurveyYear,0.0
SurveyId,0.0
IndicatorId,0.0
IndicatorOrder,3.7
IndicatorType,3.7
CharacteristicId,3.7
CharacteristicOrder,3.7
CharacteristicCategory,3.7
CharacteristicLabel,3.7
ByVariableId,0.0
ByVariableLabel,0.0
IsTotal,3.7
IsPreferred,3.7
SDRID,3.7
RegionId,100.0
SurveyYearLabel,3.7
SurveyType,3.7
DenominatorWeighted,33.33
DenominatorUnweighted,33.33
CILow,100.0
CIHigh,100.0
LevelRank,100.0
