column,missing_pct
ISO3,0.0
DataId,0.0
Indicator,0.0
Value,0.0
Precision,0.0
DHS_CountryCode,2.44
CountryName,0.0
SurveyYear,0.0
SurveyId,0.0
IndicatorId,0.0
IndicatorOrder,2.44
IndicatorType,2.44
CharacteristicId,2.44
CharacteristicOrder,2.44
CharacteristicCategory,2.44
CharacteristicLabel,2.44
ByVariableId,0.0
ByVariableLabel,48.78
IsTotal,2.44
IsPreferred,2.44
SDRID,2.44
RegionId,100.0
SurveyYearLabel,2.44
SurveyType,2.44
DenominatorWeighted,90.24
DenominatorUnweighted,90.24
CILow,26.83
CIHigh,26.83
LevelRank,100.0
