column,missing_pct
ISO3,0.0
DataId,0.0
Indicator,0.0
Value,0.0
Precision,0.0
DHS_CountryCode,2.86
CountryName,0.0
SurveyYear,0.0
SurveyId,0.0
IndicatorId,0.0
IndicatorOrder,2.86
IndicatorType,2.86
CharacteristicId,2.86
CharacteristicOrder,2.86
CharacteristicCategory,2.86
CharacteristicLabel,2.86
ByVariableId,0.0
ByVariableLabel,97.14
IsTotal,2.86
IsPreferred,2.86
SDRID,2.86
RegionId,100.0
SurveyYearLabel,2.86
SurveyType,2.86
DenominatorWeighted,8.57
DenominatorUnweighted,8.57
CILow,100.0
CIHigh,100.0
LevelRank,100.0
