column,missing_pct
ISO3,0.0
DataId,0.0
Indicator,0.0
Value,0.0
Precision,0.0
DHS_CountryCode,1.89
CountryName,0.0
SurveyYear,0.0
SurveyId,0.0
IndicatorId,0.0
IndicatorOrder,1.89
IndicatorType,1.89
CharacteristicId,1.89
CharacteristicOrder,1.89
CharacteristicCategory,1.89
CharacteristicLabel,1.89
ByVariableId,0.0
ByVariableLabel,62.26
IsTotal,1.89
IsPreferred,1.89
SDRID,1.89
RegionId,100.0
SurveyYearLabel,1.89
SurveyType,1.89
DenominatorWeighted,35.85
DenominatorUnweighted,35.85
CILow,73.58
CIHigh,73.58
LevelRank,100.0
