column,missing_pct
ISO3,0.0
DataId,0.0
Indicator,0.0
Value,0.0
Precision,0.0
DHS_CountryCode,0.84
CountryName,0.0
SurveyYear,0.0
SurveyId,0.0
IndicatorId,0.0
IndicatorOrder,0.84
IndicatorType,0.84
CharacteristicId,0.84
CharacteristicOrder,0.84
CharacteristicCategory,0.84
CharacteristicLabel,0.84
ByVariableId,0.0
ByVariableLabel,99.16
IsTotal,0.84
IsPreferred,0.84
SDRID,0.84
RegionId,100.0
SurveyYearLabel,0.84
SurveyType,0.84
DenominatorWeighted,33.61
DenominatorUnweighted,32.77
CILow,100.0
CIHigh,100.0
LevelRank,100.0
