column,missing_pct
ISO3,0.0
DataId,0.0
Indicator,0.0
Value,0.0
Precision,0.0
DHS_CountryCode,0.85
CountryName,0.0
SurveyYear,0.0
SurveyId,0.0
IndicatorId,0.0
IndicatorOrder,0.85
IndicatorType,0.85
CharacteristicId,0.85
CharacteristicOrder,0.85
CharacteristicCategory,0.85
CharacteristicLabel,0.85
ByVariableId,0.0
ByVariableLabel,47.86
IsTotal,0.85
IsPreferred,0.85
SDRID,0.85
RegionId,100.0
SurveyYearLabel,0.85
SurveyType,0.85
DenominatorWeighted,7.69
DenominatorUnweighted,7.69
CILow,100.0
CIHigh,100.0
LevelRank,100.0
