column,missing_pct
ISO3,0.0
DataId,0.0
Indicator,0.0
Value,0.0
Precision,0.0
DHS_CountryCode,4.35
CountryName,0.0
SurveyYear,0.0
SurveyId,0.0
IndicatorId,0.0
IndicatorOrder,4.35
IndicatorType,4.35
CharacteristicId,4.35
CharacteristicOrder,4.35
CharacteristicCategory,4.35
CharacteristicLabel,4.35
ByVariableId,0.0
ByVariableLabel,95.65
IsTotal,4.35
IsPreferred,4.35
SDRID,4.35
RegionId,100.0
SurveyYearLabel,4.35
SurveyType,4.35
DenominatorWeighted,13.04
DenominatorUnweighted,13.04
CILow,100.0
CIHigh,100.0
LevelRank,100.0
