column,missing_pct
ISO3,0.0
DataId,0.0
Indicator,0.0
Value,0.0
Precision,0.0
DHS_CountryCode,4.55
CountryName,0.0
SurveyYear,0.0
SurveyId,0.0
IndicatorId,0.0
IndicatorOrder,4.55
IndicatorType,4.55
CharacteristicId,4.55
CharacteristicOrder,4.55
CharacteristicCategory,4.55
CharacteristicLabel,4.55
ByVariableId,0.0
ByVariableLabel,95.45
IsTotal,4.55
IsPreferred,4.55
SDRID,4.55
RegionId,100.0
SurveyYearLabel,4.55
SurveyType,4.55
DenominatorWeighted,90.91
DenominatorUnweighted,72.73
CILow,86.36
CIHigh,86.36
LevelRank,100.0
