column,missing_pct
ISO3,0.0
DataId,0.0
Indicator,0.0
Value,0.0
Precision,0.0
DHS_CountryCode,2.13
CountryName,0.0
SurveyYear,0.0
SurveyId,0.0
IndicatorId,0.0
IndicatorOrder,2.13
IndicatorType,2.13
CharacteristicId,2.13
CharacteristicOrder,2.13
CharacteristicCategory,2.13
CharacteristicLabel,2.13
ByVariableId,0.0
ByVariableLabel,97.87
IsTotal,2.13
IsPreferred,2.13
SDRID,2.13
RegionId,100.0
SurveyYearLabel,2.13
SurveyType,2.13
DenominatorWeighted,10.64
DenominatorUnweighted,10.64
CILow,100.0
CIHigh,100.0
LevelRank,100.0
