column,dtype,non_null,missing,missing_pct,n_unique,examples,min,q25,median,mean,q75,max,std
ISO3,object,27,0,0.0,2,"#country+code, ZAF",,,,,,,
DataId,object,27,0,0.0,27,"#meta+id, 598577, 397915",,,,,,,
Indicator,object,27,0,0.0,8,"#indicator+name, Children with symptoms of ARI, Number of children born in the",,,,,,,
Value,object,27,0,0.0,27,"#indicator+value+num, 21.9, 19.3",,,,,,,
Precision,object,27,0,0.0,3,"#indicator+precision, 1, 0",,,,,,,
DHS_CountryCode,object,26,1,3.7,1,ZA,,,,,,,
CountryName,object,27,0,0.0,2,"#country+name, South Africa",,,,,,,
SurveyYear,object,27,0,0.0,3,"#date+year, 1998, 2016",,,,,,,
SurveyId,object,27,0,0.0,3,"#survey+id, ZA1998DHS, ZA2016DHS",,,,,,,
IndicatorId,object,27,0,0.0,8,"#indicator+code, CH_ARIS_C_ARI, CH_ARIS_C_NUM",,,,,,,
IndicatorOrder,float64,26,1,3.7,7,"93966010.0, 93966020.0, 93966030.0",93966010.0,93966020.0,93966040.0,93966039.23076923,93966060.0,93966070.0,20.55444494751906
IndicatorType,object,26,1,3.7,3,"I, D, U",,,,,,,
CharacteristicId,float64,26,1,3.7,1,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0
CharacteristicOrder,float64,26,1,3.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CharacteristicCategory,object,26,1,3.7,1,Total,,,,,,,
CharacteristicLabel,object,26,1,3.7,1,Total,,,,,,,
ByVariableId,object,27,0,0.0,3,"#indicator+label+code, 14000, 14001",,,,,,,
ByVariableLabel,object,27,0,0.0,3,"#indicator+label, Three years preceding the surv, Five years preceding the surve",,,,,,,
IsTotal,float64,26,1,3.7,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
IsPreferred,float64,26,1,3.7,2,"0.0, 1.0",0.0,0.0,0.5,0.5,1.0,1.0,0.5
SDRID,object,26,1,3.7,7,"CHARISCARI, CHARISCNUM, CHARISCUNW",,,,,,,
RegionId,float64,0,27,100.0,0,,,,,,,,
SurveyYearLabel,float64,26,1,3.7,2,"1998.0, 2016.0",1998.0,1998.0,2016.0,2007.6923076923076,2016.0,2016.0,8.973333274718575
SurveyType,object,26,1,3.7,1,DHS,,,,,,,
DenominatorWeighted,float64,18,9,33.33,8,"2912.0, 4740.0, 637.0",68.0,107.0,913.0,1659.2777777777778,2912.0,4740.0,1612.2354324062517
DenominatorUnweighted,float64,18,9,33.33,8,"2958.0, 4797.0, 607.0",59.0,94.0,862.0,1654.7222222222222,2958.0,4797.0,1633.0352042730315
CILow,float64,0,27,100.0,0,,,,,,,,
CIHigh,float64,0,27,100.0,0,,,,,,,,
LevelRank,float64,0,27,100.0,0,,,,,,,,
