column,dtype,non_null,missing,missing_pct,n_unique,examples,min,q25,median,mean,q75,max,std
ISO3,object,41,0,0.0,2,"#country+code, ZAF",,,,,,,
DataId,object,41,0,0.0,41,"#meta+id, 85995, 794581",,,,,,,
Indicator,object,41,0,0.0,16,"#indicator+name, Neonatal mortality rate (5 yea, Postneonatal mortality (5 year",,,,,,,
Value,object,41,0,0.0,28,"#indicator+value+num, 20, 26",,,,,,,
Precision,object,41,0,0.0,2,"#indicator+precision, 0",,,,,,,
DHS_CountryCode,object,40,1,2.44,1,ZA,,,,,,,
CountryName,object,41,0,0.0,2,"#country+name, South Africa",,,,,,,
SurveyYear,object,41,0,0.0,3,"#date+year, 1998, 2016",,,,,,,
SurveyId,object,41,0,0.0,3,"#survey+id, ZA1998DHS, ZA2016DHS",,,,,,,
IndicatorId,object,41,0,0.0,16,"#indicator+code, CM_ECMT_C_NNR, CM_ECMT_C_PNR",,,,,,,
IndicatorOrder,float64,40,1,2.44,15,"63166010.0, 63166020.0, 63166030.0",63166010.0,63196020.0,63206030.0,63203530.0,63213540.0,63236050.0,24874.689947816434
IndicatorType,object,40,1,2.44,3,"I, D, U",,,,,,,
CharacteristicId,float64,40,1,2.44,3,"13000.0, 1000.0, 10000.0",1000.0,1000.0,5500.0,6250.0,10750.0,13000.0,5356.0713214071375
CharacteristicOrder,float64,40,1,2.44,3,"80000.0, 0.0, 10000.0",0.0,0.0,5000.0,22500.0,27500.0,80000.0,33447.72040064913
CharacteristicCategory,object,40,1,2.44,3,"Five year periods, Total, Total 15-49",,,,,,,
CharacteristicLabel,object,40,1,2.44,3,"0-4, Total, Total 15-49",,,,,,,
ByVariableId,object,41,0,0.0,4,"#indicator+label+code, 0, 14001",,,,,,,
ByVariableLabel,object,21,20,48.78,3,"#indicator+label, Five years preceding the surve, Ten years preceding the survey",,,,,,,
IsTotal,float64,40,1,2.44,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
IsPreferred,float64,40,1,2.44,2,"1.0, 0.0",0.0,0.75,1.0,0.75,1.0,1.0,0.4330127018922193
SDRID,object,40,1,2.44,15,"CMECMTCNNR, CMECMTCPNR, CMECMTCIMR",,,,,,,
RegionId,float64,0,41,100.0,0,,,,,,,,
SurveyYearLabel,float64,40,1,2.44,2,"1998.0, 2016.0",1998.0,1998.0,2007.0,2007.0,2016.0,2016.0,9.0
SurveyType,object,40,1,2.44,1,DHS,,,,,,,
DenominatorWeighted,float64,4,37,90.24,2,"5119.0, 3577.0",3577.0,3577.0,4348.0,4348.0,5119.0,5119.0,771.0
DenominatorUnweighted,float64,4,37,90.24,2,"5183.0, 3563.0",3563.0,3563.0,4373.0,4373.0,5183.0,5183.0,810.0
CILow,float64,30,11,26.83,18,"15.0, 20.0, 38.0",4.0,12.25,18.5,22.766666666666666,34.5,50.0,14.12723925219959
CIHigh,float64,30,11,26.83,15,"25.0, 31.0, 53.0",10.0,20.75,30.0,35.2,51.0,68.0,17.307801709055948
LevelRank,float64,0,41,100.0,0,,,,,,,,
