column,dtype,non_null,missing,missing_pct,n_unique,examples,min,q25,median,mean,q75,max,std
ISO3,object,35,0,0.0,2,"#country+code, ZAF",,,,,,,
DataId,object,35,0,0.0,35,"#meta+id, 795844, 795750",,,,,,,
Indicator,object,35,0,0.0,21,"#indicator+name, Population using an improved w, Population using water piped i",,,,,,,
Value,object,35,0,0.0,35,"#indicator+value+num, 83.5, 36",,,,,,,
Precision,object,35,0,0.0,3,"#indicator+precision, 1, 0",,,,,,,
DHS_CountryCode,object,34,1,2.86,1,ZA,,,,,,,
CountryName,object,35,0,0.0,2,"#country+name, South Africa",,,,,,,
SurveyYear,object,35,0,0.0,3,"#date+year, 1998, 2016",,,,,,,
SurveyId,object,35,0,0.0,3,"#survey+id, ZA1998DHS, ZA2016DHS",,,,,,,
IndicatorId,object,35,0,0.0,21,"#indicator+code, WS_SRCE_P_IMP, WS_SRCE_P_PIP",,,,,,,
IndicatorOrder,float64,34,1,2.86,20,"250162010.0, 250162020.0, 250162025.0",250162010.0,250162190.0,250252010.0,252040162.05882353,250292085.0,260831120.0,3951727.442821705
IndicatorType,object,34,1,2.86,1,I,,,,,,,
CharacteristicId,float64,34,1,2.86,1,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0
CharacteristicOrder,float64,34,1,2.86,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CharacteristicCategory,object,34,1,2.86,1,Total,,,,,,,
CharacteristicLabel,object,34,1,2.86,1,Total,,,,,,,
ByVariableId,object,35,0,0.0,2,"#indicator+label+code, 0",,,,,,,
ByVariableLabel,object,1,34,97.14,1,#indicator+label,,,,,,,
IsTotal,float64,34,1,2.86,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
IsPreferred,float64,34,1,2.86,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
SDRID,object,34,1,2.86,20,"WSSRCEPIMP, WSSRCEPPIP, WSSRCEPPYD",,,,,,,
RegionId,float64,0,35,100.0,0,,,,,,,,
SurveyYearLabel,float64,34,1,2.86,2,"1998.0, 2016.0",1998.0,1998.0,2016.0,2008.5882352941176,2016.0,2016.0,8.858753222125506
SurveyType,object,34,1,2.86,1,DHS,,,,,,,
DenominatorWeighted,float64,32,3,8.57,8,"52007.0, 12244.0, 12247.0",11066.0,37205.0,37205.0,38815.15625,52007.0,52007.0,12459.534765364875
DenominatorUnweighted,float64,32,3,8.57,8,"52465.0, 12243.0, 12247.0",11066.0,37925.0,37925.0,39352.875,52465.0,52465.0,12564.755426265765
CILow,float64,0,35,100.0,0,,,,,,,,
CIHigh,float64,0,35,100.0,0,,,,,,,,
LevelRank,float64,0,35,100.0,0,,,,,,,,
