column,dtype,non_null,missing,missing_pct,n_unique,examples,min,q25,median,mean,q75,max,std
ISO3,object,23,0,0.0,2,"#country+code, ZAF",,,,,,,
DataId,object,23,0,0.0,23,"#meta+id, 795971, 795973",,,,,,,
Indicator,object,23,0,0.0,15,"#indicator+name, Children ever breastfed, Children who started breastfee",,,,,,,
Value,object,23,0,0.0,23,"#indicator+value+num, 87.4, 38.9",,,,,,,
Precision,object,23,0,0.0,2,"#indicator+precision, 1",,,,,,,
DHS_CountryCode,object,22,1,4.35,1,ZA,,,,,,,
CountryName,object,23,0,0.0,2,"#country+name, South Africa",,,,,,,
SurveyYear,object,23,0,0.0,3,"#date+year, 1998, 2016",,,,,,,
SurveyId,object,23,0,0.0,3,"#survey+id, ZA1998DHS, ZA2016DHS",,,,,,,
IndicatorId,object,23,0,0.0,15,"#indicator+code, CN_BRFI_C_EVR, CN_BRFI_C_1HR",,,,,,,
IndicatorOrder,float64,22,1,4.35,14,"104266010.0, 104266020.0, 104306020.0",104266010.0,104306022.5,104306080.0,104336967.27272727,104411025.0,104436150.0,63480.539622342534
IndicatorType,object,22,1,4.35,1,I,,,,,,,
CharacteristicId,float64,22,1,4.35,2,"1000.0, 295001.0",1000.0,1000.0,1000.0,134636.81818181818,295001.0,295001.0,146391.79966279666
CharacteristicOrder,float64,22,1,4.35,2,"0.0, 21001.0",0.0,0.0,0.0,9545.90909090909,21001.0,21001.0,10457.019481969086
CharacteristicCategory,object,22,1,4.35,2,"Total, Age in months (other groupings",,,,,,,
CharacteristicLabel,object,22,1,4.35,2,"Total, 0-5",,,,,,,
ByVariableId,object,23,0,0.0,2,"#indicator+label+code, 0",,,,,,,
ByVariableLabel,object,1,22,95.65,1,#indicator+label,,,,,,,
IsTotal,float64,22,1,4.35,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
IsPreferred,float64,22,1,4.35,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
SDRID,object,22,1,4.35,14,"CNBRFICEVR, CNBRFIC1HR, CNBRFSCEXB",,,,,,,
RegionId,float64,0,23,100.0,0,,,,,,,,
SurveyYearLabel,float64,22,1,4.35,2,"1998.0, 2016.0",1998.0,1998.0,2016.0,2009.4545454545455,2016.0,2016.0,8.658822472575023
SurveyType,object,22,1,4.35,1,DHS,,,,,,,
DenominatorWeighted,float64,20,3,13.04,8,"2010.0, 499.0, 505.0",345.0,363.0,501.5,750.4,867.0,2010.0,520.2862096961632
DenominatorUnweighted,float64,20,3,13.04,9,"2041.0, 505.0, 514.0",346.0,380.25,505.0,755.7,877.0,2041.0,525.8297348001538
CILow,float64,0,23,100.0,0,,,,,,,,
CIHigh,float64,0,23,100.0,0,,,,,,,,
LevelRank,float64,0,23,100.0,0,,,,,,,,
