column,dtype,non_null,missing,missing_pct,n_unique,examples,min,q25,median,mean,q75,max,std
ISO3,object,47,0,0.0,2,"#country+code, ZAF",,,,,,,
DataId,object,47,0,0.0,47,"#meta+id, 795762, 795768",,,,,,,
Indicator,object,47,0,0.0,33,"#indicator+name, Households with an improved sa, Households with an unimproved ",,,,,,,
Value,object,47,0,0.0,38,"#indicator+value+num, 50.1, 38.3",,,,,,,
Precision,object,47,0,0.0,3,"#indicator+precision, 1, 0",,,,,,,
DHS_CountryCode,object,46,1,2.13,1,ZA,,,,,,,
CountryName,object,47,0,0.0,2,"#country+name, South Africa",,,,,,,
SurveyYear,object,47,0,0.0,3,"#date+year, 1998, 2016",,,,,,,
SurveyId,object,47,0,0.0,3,"#survey+id, ZA1998DHS, ZA2016DHS",,,,,,,
IndicatorId,object,47,0,0.0,33,"#indicator+code, WS_TLET_H_IMP, WS_TLET_H_NIM",,,,,,,
IndicatorOrder,float64,46,1,2.13,32,"250261010.0, 250261150.0, 250261180.0",250261010.0,250261182.5,250261630.0,250261647.82608697,250262177.5,250262250.0,507.44848975462844
IndicatorType,object,46,1,2.13,5,"I, S, T",,,,,,,
CharacteristicId,float64,46,1,2.13,1,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0
CharacteristicOrder,float64,46,1,2.13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CharacteristicCategory,object,46,1,2.13,1,Total,,,,,,,
CharacteristicLabel,object,46,1,2.13,1,Total,,,,,,,
ByVariableId,object,47,0,0.0,2,"#indicator+label+code, 0",,,,,,,
ByVariableLabel,object,1,46,97.87,1,#indicator+label,,,,,,,
IsTotal,float64,46,1,2.13,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
IsPreferred,float64,46,1,2.13,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
SDRID,object,46,1,2.13,32,"WSTLETHIMP, WSTLETHNIM, WSTLETHNPT",,,,,,,
RegionId,float64,0,47,100.0,0,,,,,,,,
SurveyYearLabel,float64,46,1,2.13,2,"1998.0, 2016.0",1998.0,1998.0,2016.0,2008.9565217391305,2016.0,2016.0,8.784760821121427
SurveyType,object,46,1,2.13,1,DHS,,,,,,,
DenominatorWeighted,float64,42,5,10.64,4,"12247.0, 52007.0, 11083.0",11083.0,11083.0,24726.0,27185.14285714286,37205.0,52007.0,16467.845057466828
DenominatorUnweighted,float64,42,5,10.64,4,"12247.0, 52465.0, 11083.0",11083.0,11083.0,25086.0,27495.238095238095,37925.0,52465.0,16735.91917149277
CILow,float64,0,47,100.0,0,,,,,,,,
CIHigh,float64,0,47,100.0,0,,,,,,,,
LevelRank,float64,0,47,100.0,0,,,,,,,,
