dataset,variable,method
access-to-health-care_national_zaf.csv,iso3,mode_or_unknown
access-to-health-care_national_zaf.csv,data_id,mode_or_unknown
access-to-health-care_national_zaf.csv,indicator,mode_or_unknown
access-to-health-care_national_zaf.csv,value,mode_or_unknown
access-to-health-care_national_zaf.csv,precision,mode_or_unknown
access-to-health-care_national_zaf.csv,dhs_country_code,mode_or_unknown
access-to-health-care_national_zaf.csv,country_name,mode_or_unknown
access-to-health-care_national_zaf.csv,survey_year,mode_or_unknown
access-to-health-care_national_zaf.csv,survey_id,mode_or_unknown
access-to-health-care_national_zaf.csv,indicator_id,mode_or_unknown
access-to-health-care_national_zaf.csv,indicator_order,mice_pmm_or_median
access-to-health-care_national_zaf.csv,indicator_type,mode_or_unknown
access-to-health-care_national_zaf.csv,characteristic_id,mice_pmm_or_median
access-to-health-care_national_zaf.csv,characteristic_order,imputeTS_interpolation
access-to-health-care_national_zaf.csv,characteristic_category,mode_or_unknown
access-to-health-care_national_zaf.csv,characteristic_label,mode_or_unknown
access-to-health-care_national_zaf.csv,by_variable_id,mode_or_unknown
access-to-health-care_national_zaf.csv,by_variable_label,mode_or_unknown
access-to-health-care_national_zaf.csv,is_total,imputeTS_interpolation
access-to-health-care_national_zaf.csv,is_preferred,imputeTS_interpolation
access-to-health-care_national_zaf.csv,sdrid,mode_or_unknown
access-to-health-care_national_zaf.csv,region_id,leave_as_is
access-to-health-care_national_zaf.csv,survey_year_label,mice_pmm_or_median
access-to-health-care_national_zaf.csv,survey_type,mode_or_unknown
access-to-health-care_national_zaf.csv,denominator_weighted,mice_pmm_or_median
access-to-health-care_national_zaf.csv,denominator_unweighted,mice_pmm_or_median
access-to-health-care_national_zaf.csv,ci_low,leave_as_is
access-to-health-care_national_zaf.csv,ci_high,leave_as_is
access-to-health-care_national_zaf.csv,level_rank,leave_as_is
anthropometry_national_zaf.csv,iso3,mode_or_unknown
anthropometry_national_zaf.csv,data_id,mode_or_unknown
anthropometry_national_zaf.csv,indicator,mode_or_unknown
anthropometry_national_zaf.csv,value,mode_or_unknown
anthropometry_national_zaf.csv,precision,mode_or_unknown
anthropometry_national_zaf.csv,dhs_country_code,mode_or_unknown
anthropometry_national_zaf.csv,country_name,mode_or_unknown
anthropometry_national_zaf.csv,survey_year,mode_or_unknown
anthropometry_national_zaf.csv,survey_id,mode_or_unknown
anthropometry_national_zaf.csv,indicator_id,mode_or_unknown
anthropometry_national_zaf.csv,indicator_order,mice_pmm_or_median
anthropometry_national_zaf.csv,indicator_type,mode_or_unknown
anthropometry_national_zaf.csv,characteristic_id,mice_pmm_or_median
anthropometry_national_zaf.csv,characteristic_order,mice_pmm_or_median
anthropometry_national_zaf.csv,characteristic_category,mode_or_unknown
anthropometry_national_zaf.csv,characteristic_label,mode_or_unknown
anthropometry_national_zaf.csv,by_variable_id,mode_or_unknown
anthropometry_national_zaf.csv,by_variable_label,mode_or_unknown
anthropometry_national_zaf.csv,is_total,imputeTS_interpolation
anthropometry_national_zaf.csv,is_preferred,imputeTS_interpolation
anthropometry_national_zaf.csv,sdrid,mode_or_unknown
anthropometry_national_zaf.csv,region_id,leave_as_is
anthropometry_national_zaf.csv,survey_year_label,mice_pmm_or_median
anthropometry_national_zaf.csv,survey_type,mode_or_unknown
anthropometry_national_zaf.csv,denominator_weighted,mice_pmm_or_median
anthropometry_national_zaf.csv,denominator_unweighted,mice_pmm_or_median
anthropometry_national_zaf.csv,ci_low,leave_as_is
anthropometry_national_zaf.csv,ci_high,leave_as_is
anthropometry_national_zaf.csv,level_rank,leave_as_is
child-mortality-rates_national_zaf.csv,iso3,mode_or_unknown
child-mortality-rates_national_zaf.csv,data_id,mode_or_unknown
child-mortality-rates_national_zaf.csv,indicator,mode_or_unknown
child-mortality-rates_national_zaf.csv,value,mode_or_unknown
child-mortality-rates_national_zaf.csv,precision,mode_or_unknown
child-mortality-rates_national_zaf.csv,dhs_country_code,mode_or_unknown
child-mortality-rates_national_zaf.csv,country_name,mode_or_unknown
child-mortality-rates_national_zaf.csv,survey_year,mode_or_unknown
child-mortality-rates_national_zaf.csv,survey_id,mode_or_unknown
child-mortality-rates_national_zaf.csv,indicator_id,mode_or_unknown
child-mortality-rates_national_zaf.csv,indicator_order,mice_pmm_or_median
child-mortality-rates_national_zaf.csv,indicator_type,mode_or_unknown
child-mortality-rates_national_zaf.csv,characteristic_id,mice_pmm_or_median
child-mortality-rates_national_zaf.csv,characteristic_order,mice_pmm_or_median
child-mortality-rates_national_zaf.csv,characteristic_category,mode_or_unknown
child-mortality-rates_national_zaf.csv,characteristic_label,mode_or_unknown
child-mortality-rates_national_zaf.csv,by_variable_id,mode_or_unknown
child-mortality-rates_national_zaf.csv,by_variable_label,mode_or_unknown
child-mortality-rates_national_zaf.csv,is_total,imputeTS_interpolation
child-mortality-rates_national_zaf.csv,is_preferred,imputeTS_interpolation
child-mortality-rates_national_zaf.csv,sdrid,mode_or_unknown
child-mortality-rates_national_zaf.csv,region_id,leave_as_is
child-mortality-rates_national_zaf.csv,survey_year_label,mice_pmm_or_median
child-mortality-rates_national_zaf.csv,survey_type,mode_or_unknown
child-mortality-rates_national_zaf.csv,denominator_weighted,mice_pmm_or_median
child-mortality-rates_national_zaf.csv,denominator_unweighted,mice_pmm_or_median
child-mortality-rates_national_zaf.csv,ci_low,imputeTS_interpolation
child-mortality-rates_national_zaf.csv,ci_high,imputeTS_interpolation
child-mortality-rates_national_zaf.csv,level_rank,leave_as_is
covid-19-prevention_national_zaf.csv,iso3,mode_or_unknown
