variable,n_miss,pct_miss,dataset
region_id,276,100,access-to-health-care_national_zaf.csv
ci_low,276,100,access-to-health-care_national_zaf.csv
ci_high,276,100,access-to-health-care_national_zaf.csv
level_rank,276,100,access-to-health-care_national_zaf.csv
denominator_weighted,35,12.681159420289855,access-to-health-care_national_zaf.csv
denominator_unweighted,35,12.681159420289855,access-to-health-care_national_zaf.csv
by_variable_label,13,4.710144927536232,access-to-health-care_national_zaf.csv
dhs_country_code,1,0.36231884057971014,access-to-health-care_national_zaf.csv
indicator_order,1,0.36231884057971014,access-to-health-care_national_zaf.csv
indicator_type,1,0.36231884057971014,access-to-health-care_national_zaf.csv
characteristic_id,1,0.36231884057971014,access-to-health-care_national_zaf.csv
characteristic_order,1,0.36231884057971014,access-to-health-care_national_zaf.csv
characteristic_category,1,0.36231884057971014,access-to-health-care_national_zaf.csv
characteristic_label,1,0.36231884057971014,access-to-health-care_national_zaf.csv
is_total,1,0.36231884057971014,access-to-health-care_national_zaf.csv
is_preferred,1,0.36231884057971014,access-to-health-care_national_zaf.csv
sdrid,1,0.36231884057971014,access-to-health-care_national_zaf.csv
survey_year_label,1,0.36231884057971014,access-to-health-care_national_zaf.csv
survey_type,1,0.36231884057971014,access-to-health-care_national_zaf.csv
iso3,0,0,access-to-health-care_national_zaf.csv
data_id,0,0,access-to-health-care_national_zaf.csv
indicator,0,0,access-to-health-care_national_zaf.csv
value,0,0,access-to-health-care_national_zaf.csv
precision,0,0,access-to-health-care_national_zaf.csv
country_name,0,0,access-to-health-care_national_zaf.csv
survey_year,0,0,access-to-health-care_national_zaf.csv
survey_id,0,0,access-to-health-care_national_zaf.csv
indicator_id,0,0,access-to-health-care_national_zaf.csv
by_variable_id,0,0,access-to-health-care_national_zaf.csv
region_id,38,100,anthropometry_national_zaf.csv
ci_low,38,100,anthropometry_national_zaf.csv
ci_high,38,100,anthropometry_national_zaf.csv
level_rank,38,100,anthropometry_national_zaf.csv
by_variable_label,37,97.36842105263158,anthropometry_national_zaf.csv
denominator_weighted,5,13.157894736842104,anthropometry_national_zaf.csv
denominator_unweighted,5,13.157894736842104,anthropometry_national_zaf.csv
dhs_country_code,1,2.631578947368421,anthropometry_national_zaf.csv
indicator_order,1,2.631578947368421,anthropometry_national_zaf.csv
indicator_type,1,2.631578947368421,anthropometry_national_zaf.csv
characteristic_id,1,2.631578947368421,anthropometry_national_zaf.csv
characteristic_order,1,2.631578947368421,anthropometry_national_zaf.csv
characteristic_category,1,2.631578947368421,anthropometry_national_zaf.csv
characteristic_label,1,2.631578947368421,anthropometry_national_zaf.csv
is_total,1,2.631578947368421,anthropometry_national_zaf.csv
is_preferred,1,2.631578947368421,anthropometry_national_zaf.csv
sdrid,1,2.631578947368421,anthropometry_national_zaf.csv
survey_year_label,1,2.631578947368421,anthropometry_national_zaf.csv
survey_type,1,2.631578947368421,anthropometry_national_zaf.csv
iso3,0,0,anthropometry_national_zaf.csv
data_id,0,0,anthropometry_national_zaf.csv
indicator,0,0,anthropometry_national_zaf.csv
value,0,0,anthropometry_national_zaf.csv
precision,0,0,anthropometry_national_zaf.csv
country_name,0,0,anthropometry_national_zaf.csv
survey_year,0,0,anthropometry_national_zaf.csv
survey_id,0,0,anthropometry_national_zaf.csv
indicator_id,0,0,anthropometry_national_zaf.csv
by_variable_id,0,0,anthropometry_national_zaf.csv
region_id,41,100,child-mortality-rates_national_zaf.csv
level_rank,41,100,child-mortality-rates_national_zaf.csv
denominator_weighted,37,90.2439024390244,child-mortality-rates_national_zaf.csv
denominator_unweighted,37,90.2439024390244,child-mortality-rates_national_zaf.csv
by_variable_label,20,48.78048780487805,child-mortality-rates_national_zaf.csv
ci_low,11,26.82926829268293,child-mortality-rates_national_zaf.csv
ci_high,11,26.82926829268293,child-mortality-rates_national_zaf.csv
dhs_country_code,1,2.4390243902439024,child-mortality-rates_national_zaf.csv
indicator_order,1,2.4390243902439024,child-mortality-rates_national_zaf.csv
indicator_type,1,2.4390243902439024,child-mortality-rates_national_zaf.csv
characteristic_id,1,2.4390243902439024,child-mortality-rates_national_zaf.csv
characteristic_order,1,2.4390243902439024,child-mortality-rates_national_zaf.csv
characteristic_category,1,2.4390243902439024,child-mortality-rates_national_zaf.csv
characteristic_label,1,2.4390243902439024,child-mortality-rates_national_zaf.csv
is_total,1,2.4390243902439024,child-mortality-rates_national_zaf.csv
is_preferred,1,2.4390243902439024,child-mortality-rates_national_zaf.csv
sdrid,1,2.4390243902439024,child-mortality-rates_national_zaf.csv
survey_year_label,1,2.4390243902439024,child-mortality-rates_national_zaf.csv
survey_type,1,2.4390243902439024,child-mortality-rates_national_zaf.csv
iso3,0,0,child-mortality-rates_national_zaf.csv
data_id,0,0,child-mortality-rates_national_zaf.csv
indicator,0,0,child-mortality-rates_national_zaf.csv
value,0,0,child-mortality-rates_national_zaf.csv
precision,0,0,child-mortality-rates_national_zaf.csv
country_name,0,0,child-mortality-rates_national_zaf.csv
survey_year,0,0,child-mortality-rates_national_zaf.csv
survey_id,0,0,child-mortality-rates_national_zaf.csv
indicator_id,0,0,child-mortality-rates_national_zaf.csv
by_variable_id,0,0,child-mortality-rates_national_zaf.csv
region_id,35,100,covid-19-prevention_national_zaf.csv
ci_low,35,100,covid-19-prevention_national_zaf.csv
ci_high,35,100,covid-19-prevention_national_zaf.csv
level_rank,35,100,covid-19-prevention_national_zaf.csv
by_variable_label,34,97.14285714285714,covid-19-prevention_national_zaf.csv
denominator_weighted,3,8.571428571428571,covid-19-prevention_national_zaf.csv
denominator_unweighted,3,8.571428571428571,covid-19-prevention_national_zaf.csv
dhs_country_code,1,2.857142857142857,covid-19-prevention_national_zaf.csv
indicator_order,1,2.857142857142857,covid-19-prevention_national_zaf.csv
indicator_type,1,2.857142857142857,covid-19-prevention_national_zaf.csv
characteristic_id,1,2.857142857142857,covid-19-prevention_national_zaf.csv
characteristic_order,1,2.857142857142857,covid-19-prevention_national_zaf.csv
characteristic_category,1,2.857142857142857,covid-19-prevention_national_zaf.csv
characteristic_label,1,2.857142857142857,covid-19-prevention_national_zaf.csv
is_total,1,2.857142857142857,covid-19-prevention_national_zaf.csv
is_preferred,1,2.857142857142857,covid-19-prevention_national_zaf.csv
sdrid,1,2.857142857142857,covid-19-prevention_national_zaf.csv
survey_year_label,1,2.857142857142857,covid-19-prevention_national_zaf.csv
survey_type,1,2.857142857142857,covid-19-prevention_national_zaf.csv
iso3,0,0,covid-19-prevention_national_zaf.csv
data_id,0,0,covid-19-prevention_national_zaf.csv
indicator,0,0,covid-19-prevention_national_zaf.csv
value,0,0,covid-19-prevention_national_zaf.csv
precision,0,0,covid-19-prevention_national_zaf.csv
country_name,0,0,covid-19-prevention_national_zaf.csv
survey_year,0,0,covid-19-prevention_national_zaf.csv
survey_id,0,0,covid-19-prevention_national_zaf.csv
indicator_id,0,0,covid-19-prevention_national_zaf.csv
by_variable_id,0,0,covid-19-prevention_national_zaf.csv
region_id,53,100,dhs-quickstats_national_zaf.csv
level_rank,53,100,dhs-quickstats_national_zaf.csv
ci_low,39,73.58490566037736,dhs-quickstats_national_zaf.csv
ci_high,39,73.58490566037736,dhs-quickstats_national_zaf.csv
by_variable_label,33,62.264150943396224,dhs-quickstats_national_zaf.csv
denominator_weighted,19,35.84905660377358,dhs-quickstats_national_zaf.csv
denominator_unweighted,19,35.84905660377358,dhs-quickstats_national_zaf.csv
dhs_country_code,1,1.8867924528301887,dhs-quickstats_national_zaf.csv
indicator_order,1,1.8867924528301887,dhs-quickstats_national_zaf.csv
indicator_type,1,1.8867924528301887,dhs-quickstats_national_zaf.csv
characteristic_id,1,1.8867924528301887,dhs-quickstats_national_zaf.csv
characteristic_order,1,1.8867924528301887,dhs-quickstats_national_zaf.csv
characteristic_category,1,1.8867924528301887,dhs-quickstats_national_zaf.csv
characteristic_label,1,1.8867924528301887,dhs-quickstats_national_zaf.csv
is_total,1,1.8867924528301887,dhs-quickstats_national_zaf.csv
is_preferred,1,1.8867924528301887,dhs-quickstats_national_zaf.csv
sdrid,1,1.8867924528301887,dhs-quickstats_national_zaf.csv
survey_year_label,1,1.8867924528301887,dhs-quickstats_national_zaf.csv
