field1,field2,correlation,dataset
data_id,value,-0.1569651198483914,access-to-health-care_national_zaf
data_id,precision,0.15579574978676863,access-to-health-care_national_zaf
data_id,survey_year,0.16251890690777304,access-to-health-care_national_zaf
data_id,indicator_order,0.2514603415544147,access-to-health-care_national_zaf
data_id,by_variable_id,0.2070171082168888,access-to-health-care_national_zaf
data_id,is_preferred,-0.14090860285448395,access-to-health-care_national_zaf
data_id,survey_year_label,0.16251890690777304,access-to-health-care_national_zaf
data_id,denominator_weighted,-0.08168055381128735,access-to-health-care_national_zaf
data_id,denominator_unweighted,-0.07880258311980927,access-to-health-care_national_zaf
value,data_id,-0.1569651198483914,access-to-health-care_national_zaf
value,precision,-0.7773928334323514,access-to-health-care_national_zaf
value,survey_year,-0.09120757593841125,access-to-health-care_national_zaf
value,indicator_order,-0.09083097543100367,access-to-health-care_national_zaf
value,by_variable_id,0.017186035259374805,access-to-health-care_national_zaf
value,is_preferred,-0.07468616784918175,access-to-health-care_national_zaf
value,survey_year_label,-0.09120757593841125,access-to-health-care_national_zaf
value,denominator_weighted,0.2280677142982774,access-to-health-care_national_zaf
value,denominator_unweighted,0.22604214359457572,access-to-health-care_national_zaf
precision,data_id,0.15579574978676863,access-to-health-care_national_zaf
precision,value,-0.7773928334323514,access-to-health-care_national_zaf
precision,survey_year,-0.027896683267333456,access-to-health-care_national_zaf
precision,indicator_order,-0.0827083467873361,access-to-health-care_national_zaf
precision,by_variable_id,0.03120263416227321,access-to-health-care_national_zaf
precision,is_preferred,-0.022466808559250994,access-to-health-care_national_zaf
precision,survey_year_label,-0.027896683267333456,access-to-health-care_national_zaf
precision,denominator_weighted,-0.005291343427463351,access-to-health-care_national_zaf
precision,denominator_unweighted,-0.0038794567305923643,access-to-health-care_national_zaf
survey_year,data_id,0.16251890690777304,access-to-health-care_national_zaf
survey_year,value,-0.09120757593841125,access-to-health-care_national_zaf
survey_year,precision,-0.027896683267333456,access-to-health-care_national_zaf
survey_year,indicator_order,0.09039805938209822,access-to-health-care_national_zaf
survey_year,by_variable_id,-0.20786800302354427,access-to-health-care_national_zaf
