field1,field2,datasets_present,avg_correlation,abs_avg_correlation
survey_year,survey_year_label,11,1,1
survey_year_label,survey_year,11,1,1
ci_high,value,3,0.9988745080515842,0.9988745080515842
value,ci_high,3,0.9988745080515842,0.9988745080515842
denominator_unweighted,denominator_weighted,13,0.9981827423238572,0.9981827423238572
denominator_weighted,denominator_unweighted,13,0.9981827423238572,0.9981827423238572
ci_low,value,3,0.9973002239708659,0.9973002239708659
value,ci_low,3,0.9973002239708659,0.9973002239708659
ci_high,ci_low,3,0.9932457628350115,0.9932457628350115
ci_low,ci_high,3,0.9932457628350115,0.9932457628350115
characteristic_id,characteristic_order,7,0.9722708893361152,0.9722708893361152
characteristic_order,characteristic_id,7,0.9722708893361152,0.9722708893361152
by_variable_id,characteristic_id,3,0.10055680414484137,0.7540208400248648
characteristic_id,by_variable_id,3,0.10055680414484137,0.7540208400248648
characteristic_order,indicator_order,7,-0.426078301131156,0.7383259796390907
indicator_order,characteristic_order,7,-0.426078301131156,0.7383259796390907
characteristic_id,indicator_order,7,-0.3534719788212715,0.6657196573292062
indicator_order,characteristic_id,7,-0.3534719788212715,0.6657196573292062
by_variable_id,characteristic_order,3,0.20305829540297884,0.6515193487667273
characteristic_order,by_variable_id,3,0.20305829540297884,0.6515193487667273
precision,value,11,-0.6172916155858901,0.6210441114587705
value,precision,11,-0.6172916155858901,0.6210441114587705
denominator_weighted,indicator_order,13,-0.06467905754393778,0.6030993417664523
indicator_order,denominator_weighted,13,-0.06467905754393778,0.6030993417664523
denominator_unweighted,indicator_order,13,-0.05973104725433184,0.5655228483985856
indicator_order,denominator_unweighted,13,-0.05973104725433184,0.5655228483985856
by_variable_id,is_preferred,5,-0.145529761543078,0.545529761543078
is_preferred,by_variable_id,5,-0.145529761543078,0.545529761543078
data_id,survey_year,11,-0.42580919641810533,0.5284907798831742
data_id,survey_year_label,11,-0.42580919641810533,0.5284907798831742
survey_year,data_id,11,-0.42580919641810533,0.5284907798831742
survey_year_label,data_id,11,-0.42580919641810533,0.5284907798831742
ci_low,survey_year,3,0.2949716248377652,0.47272122377091375
ci_low,survey_year_label,3,0.2949716248377652,0.47272122377091375
survey_year,ci_low,3,0.2949716248377652,0.47272122377091375
survey_year_label,ci_low,3,0.2949716248377652,0.47272122377091375
data_id,denominator_unweighted,13,0.34309068728282544,0.4622116987672956
denominator_unweighted,data_id,13,0.34309068728282544,0.4622116987672956
ci_high,survey_year,3,0.34034755806132566,0.4584702682016164
ci_high,survey_year_label,3,0.34034755806132566,0.4584702682016164
survey_year,ci_high,3,0.34034755806132566,0.4584702682016164
survey_year_label,ci_high,3,0.34034755806132566,0.4584702682016164
denominator_weighted,survey_year,11,-0.4225322543783391,0.4225322543783391
denominator_weighted,survey_year_label,11,-0.4225322543783391,0.4225322543783391
survey_year,denominator_weighted,11,-0.4225322543783391,0.4225322543783391
survey_year_label,denominator_weighted,11,-0.4225322543783391,0.4225322543783391
denominator_unweighted,survey_year,11,-0.42222114823598594,0.42222114823598594
denominator_unweighted,survey_year_label,11,-0.42222114823598594,0.42222114823598594
survey_year,denominator_unweighted,11,-0.42222114823598594,0.42222114823598594
survey_year_label,denominator_unweighted,11,-0.42222114823598594,0.42222114823598594
characteristic_id,is_preferred,3,0.03593982202477289,0.4163380901297433
is_preferred,characteristic_id,3,0.03593982202477289,0.4163380901297433
data_id,denominator_weighted,13,0.29836096560879377,0.4133325573758173
denominator_weighted,data_id,13,0.29836096560879377,0.4133325573758173
ci_low,denominator_unweighted,3,0.39936006962279785,0.39936006962279785
denominator_unweighted,ci_low,3,0.39936006962279785,0.39936006962279785
characteristic_id,denominator_weighted,7,-0.030419104069819874,0.3993027190918041
characteristic_order,denominator_weighted,7,-0.030419104069819874,0.3993027190918041
denominator_weighted,characteristic_id,7,-0.030419104069819874,0.3993027190918041
denominator_weighted,characteristic_order,7,-0.030419104069819874,0.3993027190918041
characteristic_id,denominator_unweighted,7,-0.03139562683068995,0.39541022468882603
characteristic_order,denominator_unweighted,7,-0.03139562683068995,0.39541022468882603
denominator_unweighted,characteristic_id,7,-0.03139562683068995,0.39541022468882603
denominator_unweighted,characteristic_order,7,-0.03139562683068995,0.39541022468882603
characteristic_order,is_preferred,3,-0.0232394418472996,0.35715882625767087
is_preferred,characteristic_order,3,-0.0232394418472996,0.35715882625767087
ci_low,data_id,3,-0.13113655865765372,0.3398230931260018
data_id,ci_low,3,-0.13113655865765372,0.3398230931260018
ci_low,precision,2,-0.3334275796788601,0.3334275796788601
precision,ci_low,2,-0.3334275796788601,0.3334275796788601
ci_high,data_id,3,-0.11103616535530822,0.32381031266674487
data_id,ci_high,3,-0.11103616535530822,0.32381031266674487
denominator_weighted,value,13,0.1690305047476327,0.32287665859378656
value,denominator_weighted,13,0.1690305047476327,0.32287665859378656
ci_high,precision,2,-0.2871762122924725,0.2871762122924725
precision,ci_high,2,-0.2871762122924725,0.2871762122924725
denominator_weighted,is_preferred,5,0.08158429960588418,0.2871073481366471
is_preferred,denominator_weighted,5,0.08158429960588418,0.2871073481366471
ci_high,denominator_unweighted,3,0.2834627922816879,0.2834627922816879
denominator_unweighted,ci_high,3,0.2834627922816879,0.2834627922816879
denominator_unweighted,is_preferred,5,0.07589798566063129,0.2821514677860056
is_preferred,denominator_unweighted,5,0.07589798566063129,0.2821514677860056
denominator_unweighted,value,13,0.28143378178469136,0.28143378178469136
value,denominator_unweighted,13,0.28143378178469136,0.28143378178469136
indicator_order,value,13,-0.022871691219348598,0.277202893164382
value,indicator_order,13,-0.022871691219348598,0.277202893164382
by_variable_id,indicator_order,5,-0.07438408580145334,0.2666048683563167
indicator_order,by_variable_id,5,-0.07438408580145334,0.2666048683563167
