field,datasets_analyzed,avg_variance,avg_cv,avg_range_norm,avg_unique_values,avg_information_content
data_id,13,62405229842.87465,0.5567217427835863,0.8368803736167965,69.76923076923077,2.5868818421361786
ci_low,13,5711.676765609869,0.7809608528688851,0.7754475554302487,2.6153846153846154,2.0828710785711864
denominator_unweighted,13,143468320.36968142,0.6190943139841716,0.6722199088150445,10.615384615384615,1.864118979733314
denominator_weighted,13,195225185.4702457,0.6190459454982212,0.6626400839168486,10.76923076923077,1.8498825594026702
ci_high,13,54888.99327333586,0.8831049322019708,0.7554122064721952,2.3846153846153846,1.8089256085786345
indicator_order,13,292508459485773.7,0.059640004315279035,0.08044448226687229,36.30769230769231,1.805755302213059
value,13,142970169.0231344,1.9967181845299824,0.9867746503565603,54.23076923076923,1.6904019783235886
survey_year,13,65.30018299862354,0.0036865510261465846,0.0037944118661606503,1.8461538461538463,0.7999987318524794
survey_year_label,13,65.30018299862354,0.0036865510261465846,0.0037944118661606503,1.8461538461538463,0.7999987318524794
precision,13,0.20034764977197742,0.6601308075092419,0.846153846074359,2,0.6216853715684646
characteristic_id,13,3116050688.867152,0.5478357472459966,0.4704368082292467,1.6153846153846154,0.5060151647656875
characteristic_order,13,1495524749.1099217,1.1759248331070709,0.5384615384615349,1.6153846153846154,0.49149809741639006
is_preferred,13,0.08158069434856398,0.2995091035140589,0.38461538457692307,1.3846153846153846,0.3355876852621799
by_variable_id,13,1877488258.1960163,1.4668011088710335,0.30769505484694115,2,0.2623798712922754
is_total,13,0,0,0,1,0
level_rank,13,NA,NA,NA,0,NA
