field1,avg_abs_correlation,max_abs_correlation,high_correlations_count
denominator_weighted,0.45163763685950686,1,25
denominator_unweighted,0.4473024839001457,1,26
ci_low,0.44536684544668037,0.9995857997698415,8
ci_high,0.42079422250534865,0.9999700470178886,8
characteristic_id,0.3792472538403597,1,12
characteristic_order,0.377996942137208,1,12
indicator_order,0.3453432523547045,0.9999994890740077,20
survey_year,0.33857977926018923,1,21
survey_year_label,0.33857977926018923,1,21
data_id,0.3172717816852727,1,12
value,0.2882355877535172,1,13
by_variable_id,0.25629138824773307,1,5
is_preferred,0.20504411669963318,1,1
precision,0.16087668935074093,0.9903841593649575,6
