field,field_type,avg_missing_rate,avg_cv,avg_abs_correlation,high_correlations,avg_information_content,avg_issues_per_dataset,completeness_score,variance_score,information_score,uniqueness_score,issue_penalty,composite_score,recommendation
value,numeric,0,1.9967181845299824,0.2882355877535172,13,1.6904019783235886,0.6923076923076923,1,1,0.6534515611767174,0.3617990082540883,0.35714285714285715,0.7854898843894355,High Priority - Include
data_id,numeric,0,0.5567217427835863,0.3172717816852727,12,2.5868818421361786,0.07692307692307693,1,0.2788183866390919,1,0.2975080998752812,0.9285714285714286,0.746818463737682,High Priority - Include
by_variable_id,numeric,0,1.4668011088710335,0.25629138824773307,5,0.2623798712922754,0.07692307692307693,1,0.73460597506218,0.10142707989925394,0.43252871919649405,0.9285714285714286,0.6335858442952951,Medium Priority - Consider
precision,numeric,0,0.6601308075092419,0.16087668935074093,6,0.6216853715684646,0.6923076923076923,1,0.33060790081632546,0.24032229127832652,0.643792553540471,0.35714285714285715,0.5906281788710602,Medium Priority - Consider
characteristic_order,numeric,0,1.1759248331070709,0.377996942137208,12,0.49149809741639006,0.23076923076923078,1,0.5889287943675826,0.18999634595236245,0.16305260835736463,0.7857142857142856,0.579028450900926,Medium Priority - Consider
indicator_order,numeric,0,0.059640004315279035,0.3453432523547045,20,1.805755302213059,0.9230769230769231,1,0.02986901445449499,0.6980432089321537,0.2353532474483917,0.14285714285714277,0.5729304493840532,Medium Priority - Consider
characteristic_category,categorical,0,0,0,0,0,0,1,0,0,1,1,0.55,Medium Priority - Consider
characteristic_label,categorical,0,0,0,0,0,0,1,0,0,1,1,0.55,Medium Priority - Consider
country_name,categorical,0,0,0,0,0,0,1,0,0,1,1,0.55,Medium Priority - Consider
dhs_country_code,categorical,0,0,0,0,0,0,1,0,0,1,1,0.55,Medium Priority - Consider
indicator,categorical,0,0,0,0,0,0,1,0,0,1,1,0.55,Medium Priority - Consider
indicator_id,categorical,0,0,0,0,0,0,1,0,0,1,1,0.55,Medium Priority - Consider
indicator_type,categorical,0,0,0,0,0,0,1,0,0,1,1,0.55,Medium Priority - Consider
iso3,categorical,0,0,0,0,0,0,1,0,0,1,1,0.55,Medium Priority - Consider
sdrid,categorical,0,0,0,0,0,0,1,0,0,1,1,0.55,Medium Priority - Consider
survey_id,categorical,0,0,0,0,0,0,1,0,0,1,1,0.55,Medium Priority - Consider
survey_type,categorical,0,0,0,0,0,0,1,0,0,1,1,0.55,Medium Priority - Consider
denominator_unweighted,numeric,0.25135114596021463,0.6190943139841716,0.4473024839001457,26,1.864118979733314,0.5384615384615384,0.7486488540397853,0.3100559301661808,0.720604609522472,0.009598741569692768,0.5,0.5306292485632329,Medium Priority - Consider
denominator_weighted,numeric,0.2666550510946282,0.6190459454982212,0.45163763685950686,25,1.8498825594026702,0.5384615384615384,0.7333449489053718,0.31003170617386927,0.7151012965768417,0,0.5,0.5224523974958645,Medium Priority - Consider
is_preferred,numeric,0,0.2995091035140589,0.20504411669963318,1,0.3355876852621799,0.7692307692307693,1,0.15000068904794486,0.1297267156914521,0.5459986060386344,0.28571428571428564,0.5086173219239614,Medium Priority - Consider
is_total,numeric,0,0,0,0,0,1,1,0,0,1,0.07142857142857138,0.5035714285714286,Medium Priority - Consider
characteristic_id,numeric,0,0.5478357472459966,0.3792472538403597,12,0.5060151647656875,0.5384615384615384,1,0.27436808633811005,0.19560814743198074,0.16028421263231882,0.5,0.5028182860204651,Medium Priority - Consider
survey_year,numeric,0,0.0036865510261465846,0.33857977926018923,21,0.7999987318524794,1.0769230769230769,1,0.0018463051294413792,0.309252134682681,0.2503286891355494,0,0.4652315980668909,Low Priority - Evaluate
survey_year_label,numeric,0,0.0036865510261465846,0.33857977926018923,21,0.7999987318524794,1.0769230769230769,1,0.0018463051294413792,0.309252134682681,0.2503286891355494,0,0.4652315980668909,Low Priority - Evaluate
ci_low,numeric,0.6126373626373626,0.7809608528688851,0.44536684544668037,8,2.0828710785711864,1,0.38736263736263743,0.3911222219137146,0.8051666854838667,0.013884563422195876,0.07142857142857138,0.4207471519153906,Low Priority - Evaluate
ci_low,numeric,0.6126373626373626,0.7809608528688851,0.44536684544668037,8,2.0828710785711864,1,0.38736263736263743,0.3911222219137146,0.8051666854838667,0.013884563422195876,0.07142857142857138,0.4207471519153906,Low Priority - Evaluate
ci_high,numeric,0.6126373626373626,0.8831049322019708,0.42079422250534865,8,1.8089256085786345,1,0.38736263736263743,0.4422782038266704,0.6992687408887882,0.06829239159214011,0.07142857142857138,0.4126650363747038,Low Priority - Evaluate
ci_high,numeric,0.6126373626373626,0.8831049322019708,0.42079422250534865,8,1.8089256085786345,1,0.38736263736263743,0.4422782038266704,0.6992687408887882,0.06829239159214011,0.07142857142857138,0.4126650363747038,Low Priority - Evaluate
by_variable_label,categorical,0.7434343640444436,0,0,0,0,0.6923076923076923,0.25656563595555637,0,0,1,0.35714285714285715,0.2576551154415876,Consider Exclusion
ci_low,categorical,1,0,0.44536684544668037,8,2.0828710785711864,1,0,0,0.8051666854838667,0.013884563422195876,0.07142857142857138,0.20694578445572462,Consider Exclusion
ci_low,categorical,1,0,0.44536684544668037,8,2.0828710785711864,1,0,0,0.8051666854838667,0.013884563422195876,0.07142857142857138,0.20694578445572462,Consider Exclusion
ci_high,categorical,1,0,0.42079422250534865,8,1.8089256085786345,1,0,0,0.6992687408887882,0.06829239159214011,0.07142857142857138,0.18863247253244664,Consider Exclusion
ci_high,categorical,1,0,0.42079422250534865,8,1.8089256085786345,1,0,0,0.6992687408887882,0.06829239159214011,0.07142857142857138,0.18863247253244664,Consider Exclusion
level_rank,categorical,1,0,0,0,0,1,0,0,0,1,0.07142857142857138,0.15357142857142855,Consider Exclusion
region_id,categorical,1,0,0,0,0,1,0,0,0,1,0.07142857142857138,0.15357142857142855,Consider Exclusion
