dataset,field,total_count,missing_count,missing_rate,unique_count,unique_rate,field_type,mean_value,std_dev,coefficient_of_variation,skewness,kurtosis,outlier_count,outlier_rate,max_frequency,mode_frequency_rate,rare_categories,cardinality_ratio,min_value,max_value,high_missing_flag,excessive_outliers_flag,low_variance_flag,total_issues,quality_rating
access-to-health-care_national_zaf,iso3,275,0,0,1,0.0036363636363636364,categorical,NA,NA,NA,NA,NA,NA,NA,275,1,0,0.0036363636363636364,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,data_id,275,0,0,275,1,numeric,374070.29818181816,233471.43219346026,0.624137851436632,-0.06222457265104365,1.687545510161746,0,0,NA,NA,NA,NA,3671,754459,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,indicator,275,0,0,68,0.24727272727272728,categorical,NA,NA,NA,NA,NA,NA,NA,12,0.04363636363636364,42,0.24727272727272728,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,value,275,0,0,190,0.6909090909090909,numeric,542.6581818181818,1129.3167985202558,2.081083150237353,2.3904442010253844,7.947827791122927,64,0.23272727272727273,NA,NA,NA,NA,0,5066,FALSE,TRUE,FALSE,1,Moderate Issues
access-to-health-care_national_zaf,precision,275,0,0,2,0.007272727272727273,numeric,0.7527272727272727,0.43221317456560976,0.5741962464035879,-1.1715886916993352,2.3726200625177603,68,0.24727272727272728,NA,NA,NA,NA,0,1,FALSE,TRUE,FALSE,1,Moderate Issues
access-to-health-care_national_zaf,dhs_country_code,275,0,0,1,0.0036363636363636364,categorical,NA,NA,NA,NA,NA,NA,NA,275,1,0,0.0036363636363636364,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,country_name,275,0,0,1,0.0036363636363636364,categorical,NA,NA,NA,NA,NA,NA,NA,275,1,0,0.0036363636363636364,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,survey_year,275,0,0,2,0.007272727272727273,numeric,2007.621818181818,8.994862501821554,0.004480357017621804,-0.1385128128359165,1.019185799319721,0,0,NA,NA,NA,NA,1998,2016,FALSE,FALSE,TRUE,1,Moderate Issues
access-to-health-care_national_zaf,survey_id,275,0,0,2,0.007272727272727273,categorical,NA,NA,NA,NA,NA,NA,NA,147,0.5345454545454545,0,0.007272727272727273,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,indicator_id,275,0,0,72,0.26181818181818184,categorical,NA,NA,NA,NA,NA,NA,NA,6,0.02181818181818182,46,0.26181818181818184,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,indicator_order,275,0,0,72,0.26181818181818184,numeric,87126424.21090908,5002220.635034711,0.05741335858023637,0.6660548834550727,1.445343293572539,0,0,NA,NA,NA,NA,83363010,94096170,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,indicator_type,275,0,0,5,0.01818181818181818,categorical,NA,NA,NA,NA,NA,NA,NA,176,0.64,0,0.01818181818181818,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,characteristic_id,275,0,0,1,0.0036363636363636364,numeric,1000,0,0,NA,NA,0,0,NA,NA,NA,NA,1000,1000,FALSE,FALSE,TRUE,1,Moderate Issues
access-to-health-care_national_zaf,characteristic_order,275,0,0,1,0.0036363636363636364,numeric,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,characteristic_category,275,0,0,1,0.0036363636363636364,categorical,NA,NA,NA,NA,NA,NA,NA,275,1,0,0.0036363636363636364,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
