field1,field2,correlation,dataset
survey_year,survey_year_label,1,access-to-health-care_national_zaf
survey_year_label,survey_year,1,access-to-health-care_national_zaf
characteristic_id,characteristic_order,1,anthropometry_national_zaf
characteristic_order,characteristic_id,1,anthropometry_national_zaf
survey_year,survey_year_label,1,child-mortality-rates_national_zaf
survey_year,denominator_weighted,-1,child-mortality-rates_national_zaf
survey_year,denominator_unweighted,-1,child-mortality-rates_national_zaf
survey_year_label,survey_year,1,child-mortality-rates_national_zaf
survey_year_label,denominator_weighted,-1,child-mortality-rates_national_zaf
survey_year_label,denominator_unweighted,-1,child-mortality-rates_national_zaf
denominator_weighted,survey_year,-1,child-mortality-rates_national_zaf
denominator_weighted,survey_year_label,-1,child-mortality-rates_national_zaf
denominator_weighted,denominator_unweighted,1,child-mortality-rates_national_zaf
denominator_unweighted,survey_year,-1,child-mortality-rates_national_zaf
denominator_unweighted,survey_year_label,-1,child-mortality-rates_national_zaf
denominator_unweighted,denominator_weighted,1,child-mortality-rates_national_zaf
survey_year,survey_year_label,1,covid-19-prevention_national_zaf
survey_year_label,survey_year,1,covid-19-prevention_national_zaf
survey_year,survey_year_label,1,dhs-quickstats_national_zaf
characteristic_id,characteristic_order,1,dhs-quickstats_national_zaf
characteristic_order,characteristic_id,1,dhs-quickstats_national_zaf
survey_year_label,survey_year,1,dhs-quickstats_national_zaf
survey_year,survey_year_label,1,hiv-behavior_national_zaf
characteristic_id,characteristic_order,1,hiv-behavior_national_zaf
characteristic_order,characteristic_id,1,hiv-behavior_national_zaf
survey_year_label,survey_year,1,hiv-behavior_national_zaf
survey_year,survey_year_label,1,immunization_national_zaf
characteristic_id,characteristic_order,1,immunization_national_zaf
characteristic_order,characteristic_id,1,immunization_national_zaf
survey_year_label,survey_year,1,immunization_national_zaf
survey_year,survey_year_label,1,iycf_national_zaf
characteristic_id,characteristic_order,1,iycf_national_zaf
characteristic_order,characteristic_id,1,iycf_national_zaf
survey_year_label,survey_year,1,iycf_national_zaf
denominator_weighted,denominator_unweighted,1,literacy_national_zaf
denominator_unweighted,denominator_weighted,1,literacy_national_zaf
data_id,denominator_weighted,1,maternal-mortality_national_zaf
value,denominator_weighted,-1,maternal-mortality_national_zaf
survey_year,survey_year_label,1,maternal-mortality_national_zaf
survey_year,denominator_weighted,-1,maternal-mortality_national_zaf
survey_year,denominator_unweighted,-1,maternal-mortality_national_zaf
characteristic_id,characteristic_order,1,maternal-mortality_national_zaf
characteristic_order,characteristic_id,1,maternal-mortality_national_zaf
survey_year_label,survey_year,1,maternal-mortality_national_zaf
survey_year_label,denominator_weighted,-1,maternal-mortality_national_zaf
survey_year_label,denominator_unweighted,-1,maternal-mortality_national_zaf
denominator_weighted,data_id,1,maternal-mortality_national_zaf
denominator_weighted,value,-1,maternal-mortality_national_zaf
denominator_weighted,survey_year,-1,maternal-mortality_national_zaf
denominator_weighted,survey_year_label,-1,maternal-mortality_national_zaf
denominator_weighted,denominator_unweighted,1,maternal-mortality_national_zaf
denominator_unweighted,survey_year,-1,maternal-mortality_national_zaf
denominator_unweighted,survey_year_label,-1,maternal-mortality_national_zaf
denominator_unweighted,denominator_weighted,1,maternal-mortality_national_zaf
survey_year,survey_year_label,1,symptoms-of-acute-respiratory-infection-ari_national_zaf
by_variable_id,is_preferred,1,symptoms-of-acute-respiratory-infection-ari_national_zaf
is_preferred,by_variable_id,1,symptoms-of-acute-respiratory-infection-ari_national_zaf
survey_year_label,survey_year,1,symptoms-of-acute-respiratory-infection-ari_national_zaf
survey_year,survey_year_label,1,toilet-facilities_national_zaf
survey_year_label,survey_year,1,toilet-facilities_national_zaf
survey_year,survey_year_label,1,water_national_zaf
survey_year_label,survey_year,1,water_national_zaf
characteristic_id,by_variable_id,0.9999999999961101,immunization_national_zaf
characteristic_order,by_variable_id,0.9999999999961101,immunization_national_zaf
by_variable_id,characteristic_id,0.9999999999961101,immunization_national_zaf
by_variable_id,characteristic_order,0.9999999999961101,immunization_national_zaf
indicator_order,characteristic_id,-0.9999994890740077,maternal-mortality_national_zaf
indicator_order,characteristic_order,-0.9999994890740077,maternal-mortality_national_zaf
characteristic_id,indicator_order,-0.9999994890740077,maternal-mortality_national_zaf
characteristic_order,indicator_order,-0.9999994890740077,maternal-mortality_national_zaf
value,ci_high,0.9999700470178886,maternal-mortality_national_zaf
