indicator_order,characteristic_id,characteristic_order,is_total,is_preferred,survey_year_label,denominator_weighted,denominator_unweighted,ci_low,ci_high
1,-0.2957762774666607,-0.8022939592118377,NA,-0.05637493599166373,0,0,0,-0.07830325930400918,-0.10971557561935998
-0.2957762774666607,1,0.804807826937154,NA,0.5615317931583996,0,0,0,-0.10764628238237674,-0.0628004517710794
-0.8022939592118377,0.804807826937154,1,NA,0.37821111210338115,7.057606255599217e-21,0,0,-0.01596377209223838,0.0312619791237487
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.05637493599166373,0.5615317931583996,0.37821111210338115,NA,1,-8.312470088551679e-21,0,0,-0.15221536488217005,-0.06046531372042567
0,0,7.057606255599217e-21,NA,-8.312470088551679e-21,1,-0.31622776601683794,-0.31622776601683794,-0.2281289741042456,-0.15162093454086284
0,0,0,NA,0,-0.31622776601683794,1,0.5,0,0
0,0,0,NA,0,-0.31622776601683794,0.5,1,0,0
-0.07830325930400918,-0.10764628238237674,-0.01596377209223838,NA,-0.15221536488217005,-0.2281289741042456,0,0,1,0.98496842838602106
-0.10971557561935998,-0.0628004517710794,0.0312619791237487,NA,-0.06046531372042567,-0.15162093454086284,0,0,0.98496842838602106,1
