attributes,importance
iso3,0.0555460752688921
data_id,4.018096252714911
indicator,3.5788742769145516
precision,0.33155535424769234
dhs_country_code,0
country_name,0.0555460752688921
survey_year,0.5406446954668276
survey_id,0.5406446954668276
indicator_id,3.57887427691455
indicator_order,0
indicator_type,0.7598369651736183
characteristic_id,0
characteristic_order,0
characteristic_category,0
characteristic_label,0
by_variable_id,0.0555460752688921
by_variable_label,0
is_total,0
is_preferred,0
sdrid,3.5599679154800503
survey_year_label,0
survey_type,0
denominator_weighted,0
denominator_unweighted,0
