variable,missing_pct,unique_vals,recommended
iso3,0,2,keep
data_id,0,119,keep
indicator,0,78,keep
value,0,100,keep
precision,0,3,keep
dhs_country_code,0,1,keep
country_name,0,2,keep
survey_year,0,3,keep
survey_id,0,3,keep
indicator_id,0,102,keep
indicator_order,0,100,keep
indicator_type,0,3,keep
characteristic_id,0,2,keep
characteristic_order,0,2,keep
characteristic_category,0,2,keep
characteristic_label,0,2,keep
by_variable_id,0,2,keep
by_variable_label,0,1,keep
is_total,0,1,keep
is_preferred,0,1,keep
sdrid,0,101,keep
survey_year_label,0,2,keep
survey_type,0,1,keep
denominator_weighted,0,35,keep
denominator_unweighted,0,31,keep
