variable,missing_pct,unique_vals,recommended
iso3,0,2,keep
data_id,0,22,keep
indicator,0,12,keep
value,0,22,keep
precision,0,5,keep
dhs_country_code,0,1,keep
country_name,0,2,keep
survey_year,0,3,keep
survey_id,0,3,keep
indicator_id,0,12,keep
indicator_order,0,11,keep
indicator_type,0,5,keep
characteristic_id,0,2,keep
characteristic_order,0,2,keep
characteristic_category,0,2,keep
characteristic_label,0,2,keep
by_variable_id,0,2,keep
by_variable_label,0,1,keep
is_total,0,1,keep
is_preferred,0,1,keep
sdrid,0,11,keep
survey_year_label,0,2,keep
survey_type,0,1,keep
denominator_weighted,0,3,keep
denominator_unweighted,0,3,keep
ci_low,0,3,keep
ci_high,0,3,keep
