variable,missing_pct,unique_vals,recommended
iso3,0,2,keep
data_id,0,27,keep
indicator,0,8,keep
value,0,27,keep
precision,0,3,keep
dhs_country_code,0,1,keep
country_name,0,2,keep
survey_year,0,3,keep
survey_id,0,3,keep
indicator_id,0,8,keep
indicator_order,0,7,keep
indicator_type,0,3,keep
characteristic_id,0,1,keep
characteristic_order,0,1,keep
characteristic_category,0,1,keep
characteristic_label,0,1,keep
by_variable_id,0,3,keep
by_variable_label,0,3,keep
is_total,0,1,keep
is_preferred,0,3,keep
sdrid,0,7,keep
survey_year_label,0,2,keep
survey_type,0,1,keep
denominator_weighted,0,8,keep
denominator_unweighted,0,8,keep
