value,data_id,by_variable_id,precision,characteristic_order,indicator_order,indicator,indicator_type,characteristic_category,denominator_unweighted,is_preferred
28.5,751751,14000,1,0,83363010,Antenatal care provider: Doctor,I,Total,2903,0
30,567476,14001,1,0,83363010,Antenatal care provider: Doctor,I,Total,4148,0
27.3,205488,14002,1,0,83363010,Antenatal care provider: Doctor,I,Total,2041,1
66.6,751748,14000,1,0,83363020,Antenatal care provider: Nurse/midwife,I,Total,2903,0
65,567472,14001,1,0,83363020,Antenatal care provider: Nurse/midwife,I,Total,4148,0
68.4,205485,14002,1,0,83363020,Antenatal care provider: Nurse/midwife,I,Total,2041,1
0.1,751753.26,14000,1,0,83363070,Antenatal care provider: Traditional birth attendant,I,Total,2903,0
0.1,567471,14001,1,0,83363070,Antenatal care provider: Traditional birth attendant,I,Total,4148,0
0.1,205487,14002,1,0,83363070,Antenatal care provider: Traditional birth attendant,I,Total,2041,1
0.6,751752,14000,1,0,83363080,Antenatal care provider: Other,I,Total,2903,0
0.7,567479,14001,1,0,83363080,Antenatal care provider: Other,I,Total,4148,0
0.7,205489,14002,1,0,83363080,Antenatal care provider: Other,I,Total,2041,1
1.2,751749,14000,1,0,83363090,Antenatal care provider: Missing,S,Total,2903,0
1.1,567473,14001,1,0,83363090,Antenatal care provider: Missing,S,Total,4148,0
0.9,205491,14002,1,0,83363090,Antenatal care provider: Missing,S,Total,2041,1
2.9,751753,14000,1,0,83363100,No antenatal care,I,Total,2903,0
3.1,567480,14001,1,0,83363100,No antenatal care,I,Total,4148,0
2.7,205490,14002,1,0,83363100,No antenatal care,I,Total,2041,1
100,751750,14000,1,0,83363110,Antenatal care: Total,T,Total,2903,0
100,567474,14001,1,0,83363110,Antenatal care: Total,T,Total,4148,0
100,205497,14002,1,0,83363110,Antenatal care: Total,T,Total,2041,1
95.1,751753.26,14000,1,0,83363120,Antenatal care from a skilled provider,I,Total,2903,0
95,567475,14001,1,0,83363120,Antenatal care from a skilled provider,I,Total,4148,0
95.7,205486,14002,1,0,83363120,Antenatal care from a skilled provider,I,Total,2041,1
2871,751753.26,14000,0,0,83363130,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,D,Total,2903,0
4122,566372,14001,0,0,83363130,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,D,Total,4148,0
2010,205498,14002,0,0,83363130,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,D,Total,2041,1
2903,375163,14000,0,0,83363140,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),U,Total,2041,0
4148,27571,14001,0,0,83363140,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),U,Total,2041,0
2041,205492,14002,0,0,83363140,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),U,Total,2041,1
76.5,334590,14000,1,0,83566010,Place of delivery: Public sector,I,Total,3119,0
74.9,302266,14001,1,0,83566010,Place of delivery: Public sector,I,Total,5066,0
77.6,3816,14002,1,0,83566010,Place of delivery: Public sector,I,Total,2113,1
8,334592,14000,1,0,83566020,Place of delivery: Private sector,I,Total,3119,0
8.5,302262,14001,1,0,83566020,Place of delivery: Private sector,I,Total,5066,0
7.5,3673.74,14002,1,0,83566020,Place of delivery: Private sector,I,Total,2113,1
13.8,334593,14000,1,0,83566030,Place of delivery: At home,I,Total,3119,0
14.3,302263,14001,1,0,83566030,Place of delivery: At home,I,Total,5066,0
13.5,3673.74,14002,1,0,83566030,Place of delivery: At home,I,Total,2113,1
0.1,334594,14000,1,0,83566040,Place of delivery: Other,I,Total,3119,0
0.2,302264,14001,1,0,83566040,Place of delivery: Other,I,Total,5066,0
0.1,3673.74,14002,1,0,83566040,Place of delivery: Other,I,Total,2113,1
1.6,334595,14000,1,0,83566050,Place of delivery: don't know or missing,S,Total,3119,0
2.1,302265,14001,1,0,83566050,Place of delivery: don't know or missing,S,Total,5066,0
1.2,3674,14002,1,0,83566050,Place of delivery: don't know or missing,S,Total,2113,1
100,334591,14000,1,0,83566060,Place of delivery: Total,T,Total,3119,0
100,302267,14001,1,0,83566060,Place of delivery: Total,T,Total,5066,0
100,3817,14002,1,0,83566060,Place of delivery: Total,T,Total,2113,1
84.5,334596,14000,1,0,83566070,Place of delivery: Health facility,I,Total,3119,0
83.4,302268,14001,1,0,83566070,Place of delivery: Health facility,I,Total,5066,0
85.2,3675,14002,1,0,83566070,Place of delivery: Health facility,I,Total,2113,1
3072,205512,14000,0,0,83566080,Number of live births (or stillbirths) in the last two (or three/five) years,D,Total,3119,0
4992,387438,14001,0,0,83566080,Number of live births (or stillbirths) in the last two (or three/five) years,D,Total,5066,0
2081,15543,14002,0,0,83566080,Number of live births (or stillbirths) in the last two (or three/five) years,D,Total,2113,1
3119,334602,14000,0,0,83566090,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),U,Total,2041,0
4992,31685,14001,0,0,83566090,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),U,Total,2041,0
2113,399374,14002,0,0,83566090,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),U,Total,2041,1
29.3,508217,14000,1,0,83606010,Assistance during delivery: Doctor,I,Total,3119,0
30,413496,14001,1,0,83606010,Assistance during delivery: Doctor,I,Total,5066,0
28.2,15526,14002,1,0,83606010,Assistance during delivery: Doctor,I,Total,2113,1
56.1,508216,14000,1,0,83606020,Assistance during delivery: Nurse/midwife,I,Total,3119,0
54.4,413492,14001,1,0,83606020,Assistance during delivery: Nurse/midwife,I,Total,5066,0
