value,data_id,by_variable_id,precision,characteristic_order,indicator_order,indicator,indicator_type,characteristic_category,denominator_unweighted,is_preferred
20,85995,0,0,80000,63166010,Neonatal mortality rate (5 year periods),I,Five year periods,4373,1
26,794581,0,0,80000,63166020,Postneonatal mortality (5 year periods),I,Five year periods,4373,1
45,785930,0,0,80000,63166030,Infant mortality rate (5 year periods),I,Five year periods,4373,1
15,56239,0,0,80000,63166040,Child mortality (5 year periods),I,Five year periods,4373,1
59,101014,0,0,80000,63166050,Under-five mortality rate (5 year periods),I,Five year periods,4373,1
20,83222,14001,0,0,63206010,Neonatal mortality rate,I,Total,4373,1
19,101020,14003,0,0,63206010,Neonatal mortality rate,I,Total,4373,0
26,57409,14001,0,0,63206020,Postneonatal mortality rate,I,Total,4373,1
23,83666,14003,0,0,63206020,Postneonatal mortality rate,I,Total,4373,0
45,61831,14001,0,0,63206030,Infant mortality rate,I,Total,4373,1
42,76067,14003,0,0,63206030,Infant mortality rate,I,Total,4373,0
15,799142,14001,0,0,63206040,Child mortality rate,I,Total,4373,1
15,66518,14003,0,0,63206040,Child mortality rate,I,Total,4373,0
59,38111.630000000005,14001,0,0,63206050,Under-five mortality rate,I,Total,4373,1
57,775922,14003,0,0,63206050,Under-five mortality rate,I,Total,4373,0
127,101665,0,0,10000,63236010,Stillbirths,I,Total 15-49,4373,1
66,101666,0,0,10000,63236020,Early neonatal deaths,I,Total 15-49,4373,1
38,451037,0,0,10000,63236030,Perinatal mortality rate (5 years),I,Total 15-49,5183,1
5119,485682,0,0,10000,63236040,Number of pregnancies of 7+ months duration,D,Total 15-49,5183,1
5158.04,413974,0,0,10000,63236050,Number of pregnancies of 7+ months duration (unweighted),U,Total 15-49,4373,1
21,57558,0,0,80000,63166010,Neonatal mortality rate (5 year periods),I,Five year periods,4373,1
14,795627,0,0,80000,63166020,Postneonatal mortality (5 year periods),I,Five year periods,4373,1
35,61510,0,0,80000,63166030,Infant mortality rate (5 year periods),I,Five year periods,4373,1
7,61299,0,0,80000,63166040,Child mortality (5 year periods),I,Five year periods,4373,1
42,62393,0,0,80000,63166050,Under-five mortality rate (5 year periods),I,Five year periods,4373,1
21,792292,14001,0,0,63206010,Neonatal mortality rate,I,Total,4373,1
25,801557,14003,0,0,63206010,Neonatal mortality rate,I,Total,4373,0
14,801883.35,14001,0,0,63206020,Postneonatal mortality rate,I,Total,4373,1
18,101198,14003,0,0,63206020,Postneonatal mortality rate,I,Total,4373,0
35,62500,14001,0,0,63206030,Infant mortality rate,I,Total,4373,1
43,67910,14003,0,0,63206030,Infant mortality rate,I,Total,4373,0
7,797370,14001,0,0,63206040,Child mortality rate,I,Total,4373,1
8,72916,14003,0,0,63206040,Child mortality rate,I,Total,4373,0
42,798705,14001,0,0,63206050,Under-five mortality rate,I,Total,4373,1
51,66964,14003,0,0,63206050,Under-five mortality rate,I,Total,4373,0
37,101330,0,0,10000,63236010,Stillbirths,I,Total 15-49,4373,1
66,101331,0,0,10000,63236020,Early neonatal deaths,I,Total 15-49,4373,1
29,459334,0,0,10000,63236030,Perinatal mortality rate (5 years),I,Total 15-49,3563,1
3577,471802,0,0,10000,63236040,Number of pregnancies of 7+ months duration,D,Total 15-49,3563,1
3563,431196,0,0,10000,63236050,Number of pregnancies of 7+ months duration (unweighted),U,Total 15-49,4373,1
