value,data_id,by_variable_id,precision,characteristic_order,indicator_order,indicator,indicator_type,characteristic_category,denominator_unweighted,is_preferred
2.9,796527,0,1,0,11763080,Total fertility rate 15-49,I,Total,2841,1
56.3,795692,0,1,0,32633010,Married women currently using any method of contraception,I,Total,4948,1
55.1,795693,0,1,0,32633020,Married women currently using any modern method of contraception,I,Total,4948,1
16.5,795515,0,1,0,32933030,Unmet need for family planning,I,Total,4948,1
75.7,795357,0,1,0,32933150,Demand for family planning satisfied by modern methods,I,Total,3590,1
24.2,796657,0,1,0,41633090,Median age at first marriage [Women]: 25-49,I,Total,2841,1
18.4,796685,0,1,0,51703090,Median age at first sexual intercourse [Women]: 25-49,I,Total,2841,1
45,61831,14001,0,0,63206030,Infant mortality rate,I,Total,2841,1
42,76067,14003,0,0,63206030,Infant mortality rate,I,Total,2841,0
59,26522,14001,0,0,63206050,Under-five mortality rate,I,Total,2841,1
57,775922,14003,0,0,63206050,Under-five mortality rate,I,Total,2841,0
150,713103,0,0,0,77033020,Pregnancy-related mortality ratio,I,Total,2841,1
84.5,334596,14000,1,0,83566070,Place of delivery: Health facility,I,Total,3119,0
83.4,302268,14001,1,0,83566070,Place of delivery: Health facility,I,Total,5066,0
85.2,3675,14002,1,0,83566070,Place of delivery: Health facility,I,Total,2113,1
63.4,796066,0,1,0,93906230,Fully vaccinated (8 basic antigens),I,Total,971,1
83.1,15033,14000,1,0,94096040,Treatment of diarrhea: Either ORS or RHF,I,Total,523,0
81,607608,14001,1,0,94096040,Treatment of diarrhea: Either ORS or RHF,I,Total,634,1
0.6040000000000001,796661,0,1,0,104336020,Median duration of exclusive breastfeeding,I,Total,2841,1
68.3,643532,0,1,10000,231203100,Women with secondary or higher education,I,Total 15-49,11735,1
64.9,796453,0,1,0,260321010,Households with electricity,I,Total,12101.140000000001,1
2.6,115127,0,1,0,11763080,Total fertility rate 15-49,I,Total,2841,1
54.6,744.51,0,1,0,32633010,Married women currently using any method of contraception,I,Total,2841,1
54,745,0,1,0,32633020,Married women currently using any modern method of contraception,I,Total,2841,1
14.9,592860,0,1,0,32933030,Unmet need for family planning,I,Total,2841,1
77.8,313221,0,1,0,32933150,Demand for family planning satisfied by modern methods,I,Total,1953,1
18.1,227635,0,1,0,51703090,Median age at first sexual intercourse [Women]: 25-49,I,Total,2841,1
35,62500,14001,0,0,63206030,Infant mortality rate,I,Total,2841,1
43,67910,14003,0,0,63206030,Infant mortality rate,I,Total,2841,0
42,797674.8,14001,0,0,63206050,Under-five mortality rate,I,Total,2841,1
51,66964,14003,0,0,63206050,Under-five mortality rate,I,Total,2841,0
504.8900000000001,171595,0,0,0,77033020,Pregnancy-related mortality ratio,I,Total,2841,1
475,773982,0,0,0,77033060,Maternal mortality ratio,I,Total,2841,1
96,157345,14000,1,0,83566070,Place of delivery: Health facility,I,Total,2105,0
95.9,157336,14001,1,0,83566070,Place of delivery: Health facility,I,Total,3548,0
96.1,463689,14002,1,0,83566070,Place of delivery: Health facility,I,Total,1406,1
61.2,509978,0,1,0,93906230,Fully vaccinated (8 basic antigens),I,Total,670,1
75.4,707851,14000,1,0,94096040,Treatment of diarrhea: Either ORS or RHF,I,Total,287.02,0
80.5,545839,14001,1,0,94096040,Treatment of diarrhea: Either ORS or RHF,I,Total,350,1
27.4,198687,0,1,0,104236020,Children stunted,I,Total,1468,1
2.5,597228,0,1,0,104236050,Children wasted,I,Total,1449,1
5.9,26823,0,1,0,104236090,Children underweight,I,Total,1479,1
0.8,198731,0,1,0,104336020,Median duration of exclusive breastfeeding,I,Total,2841,1
58.5,698647,0,1,10000,135563070,Women receiving an HIV test and receiving test results in the last 12 months,I,Total 15-49,8514,1
44.6,493147,0,1,10000,135564160,Men receiving an HIV test and receiving test results in the last 12 months,I,Total 15-49,3179,1
27.3,87982,0,1,10000,135963160,HIV prevalence among women,I,Total 15-49,2726,1
14.4,80224,0,1,10000,135964190,HIV prevalence among men,I,Total 15-49,1863,1
21.2,76035,0,1,10000,135965220,HIV prevalence among general population,I,Total 15-49,4589,1
15.8,578059,316332.02000000124,1,10000,197433060,Physical or sexual violence committed by husband/partner,I,Total 15-49,2354,0
88.9,46433,0,1,10000,231203100,Women with secondary or higher education,I,Total 15-49,11805,1
96.3,563776,0,1,10000,231233090,Women who are literate,I,Total 15-49,11805,1
90,389262,0,1,0,260321010,Households with electricity,I,Total,11083,1
