value,data_id,by_variable_id,precision,characteristic_order,indicator_order,indicator,indicator_type,characteristic_category,denominator_unweighted,is_preferred
8,795160,0,1,0,135763010,Sex before the age of 15 [Women],I,Total,4459,1
4324,795161,0,0,0,135763020,Number of young women,D,Total,4459,1
4459,796612,0,0,0,135763030,Number of young women (unweighted),U,Total,1995,1
54.5,795358,0,1,0,135763040,Sex before the age of 18 [Women],I,Total,2993,1
2955,795240,0,0,0,135763050,Number of young women age 18-24,D,Total,2993,1
2993,796627.7699999999,0,0,0,135763060,Number of young women age 18-24 (unweighted),U,Total,1995,1
40.3,795192,0,1,0,135803010,Young women never having sexual intercourse,I,Total,3857,1
48.7,795191,0,1,0,135803020,Young women having premarital sex in last year,I,Total,3857,1
3721,795231,0,0,0,135803030,Number of never-married young women,D,Total,3857,1
3857,796482,0,0,0,135803040,Number of never-married young women (unweighted),U,Total,1995,1
21.8,796410,0,1,0,135803050,Young women using a condom during premarital sex,I,Total,1858,1
1811,796412,0,0,0,135803060,Number of never-married young women who had sex in the past year,D,Total,1858,1
1858,796531,0,0,0,135803070,Number of never-married young women who had sex in the past year (unweighted),U,Total,1995,1
4324,795237,0,0,0,135833020,Number of young women,D,Total,4459,1
4459,796627.7699999999,0,0,0,135833030,Number of young women (unweighted),U,Total,1995,1
2343,795149,0,0,0,135833050,Number of sexually active young women,D,Total,2390,1
2390,796592,0,0,0,135833060,Number of sexually active young women (unweighted),U,Total,1995,1
57.6,652413,0,1,10000,135403021.7,Higher risk sex in the last year [Women],I,Total 15-49,6489,1
6586,658950,0,0,10000,135403021.7,Number of women reporting sexual activity in the last 12 months,D,Total 15-49,6489,1
6489,341328,0,0,10000,135403030,Number of women reporting sexual activity in the last 12 months (unweighted),U,Total 15-49,1995,1
60,462686,0,1,10000,135403040,"Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Women]",I,Total 15-49,3866,1
3793,469008,0,0,10000,135403050,"Number of women who had sex with a non-marital, non-cohabiting partner in the last 12 months",D,Total 15-49,3866,1
3866,306992,0,0,10000,135403060,"Number of women who had sex with a non-marital, non-cohabiting partner in the last 12 months (unweighted)",U,Total 15-49,1995,1
68.7,596075,0,1,10000,135404070,Higher risk sex in the last year [Men],I,Total 15-49,2532,1
2603,601992,0,0,10000,135404080,Number of men reporting sexual activity in the last 12 months,D,Total 15-49,2532,1
2532,371076,0,0,10000,135404090,Number of men reporting sexual activity in the last 12 months (unweighted),U,Total 15-49,1995,1
68.4,253261,0,1,10000,135404100,"Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Men]",I,Total 15-49,1799,1
1787,253260,0,0,10000,135404110,"Number of men who had sex with a non-marital, non-cohabiting partner in the last 12 months",D,Total 15-49,1799,1
1799,253271,0,0,10000,135404120,"Number of men who had sex with a non-marital, non-cohabiting partner in the last 12 months (unweighted)",U,Total 15-49,1995,1
