value,data_id,by_variable_id,precision,characteristic_order,indicator_order,indicator,indicator_type,characteristic_category,denominator_unweighted,is_preferred
96.8,330965,258001,1,268002,93886010,BCG vaccination received,I,Source of vaccination information,971,1
94.9,139796,258002,1,268002,93886010,BCG vaccination received,I,Source of vaccination information,951,0
93.3,330966,258001,1,268002,93886020,DPT 1 vaccination received,I,Source of vaccination information,971,1
93.1,139797,258002,1,268002,93886020,DPT 1 vaccination received,I,Source of vaccination information,951,0
86.2,330967,258001,1,268002,93886030,DPT 2 vaccination received,I,Source of vaccination information,971,1
82.4,139798,258002,1,268002,93886030,DPT 2 vaccination received,I,Source of vaccination information,951,0
76.4,330969,258001,1,268002,93886040,DPT 3 vaccination received,I,Source of vaccination information,971,1
73.8,139793,258002,1,268002,93886040,DPT 3 vaccination received,I,Source of vaccination information,951,0
91.2,330968,258001,1,268002,93886050,Polio 0 vaccination received,I,Source of vaccination information,971,1
87.7,139792,258002,1,268002,93886050,Polio 0 vaccination received,I,Source of vaccination information,951,0
91,330973,258001,1,268002,93886060,Polio 1 vaccination received,I,Source of vaccination information,971,1
89,139795,258002,1,268002,93886060,Polio 1 vaccination received,I,Source of vaccination information,951,0
82.7,330976,258001,1,268002,93886070,Polio 2 vaccination received,I,Source of vaccination information,971,1
80,139854,258002,1,268002,93886070,Polio 2 vaccination received,I,Source of vaccination information,951,0
72.1,330974,258001,1,268002,93886080,Polio 3 vaccination received,I,Source of vaccination information,971,1
68.3,139852,258002,1,268002,93886080,Polio 3 vaccination received,I,Source of vaccination information,951,0
82.2,330975,258001,1,268002,93886090,Measles vaccination received,I,Source of vaccination information,971,1
87.6,139853,258002,1,268002,93886090,Measles vaccination received,I,Source of vaccination information,951,0
63.4,330970,258001,1,268002,93886230,Fully vaccinated (8 basic antigens),I,Source of vaccination information,971,1
62.6,139816,258002,1,268002,93886230,Fully vaccinated (8 basic antigens),I,Source of vaccination information,951,0
2.455000000000001,330971,258001,1,268002,93886250,Received no vaccinations,I,Source of vaccination information,971,1
3.9,139817,258002,1,268002,93886250,Received no vaccinations,I,Source of vaccination information,951,0
973,139862,258001,0,268002,93886260,Number of children 12-23 months,D,Source of vaccination information,971,1
933,139826,258002,0,268002,93886260,Number of children 12-23 months,D,Source of vaccination information,951,0
971,330972,258001,0,268002,93886270,Number of children 12-23 months (unweighted),U,Source of vaccination information,951,1
951,139839,258002,0,268002,93886270,Number of children 12-23 months (unweighted),U,Source of vaccination information,951,0
96.8,796064,0,1,0,93906010,BCG vaccination received,I,Total,971,1
93.3,796068,0,1,0,93906020,DPT 1 vaccination received,I,Total,971,1
86.2,796065,0,1,0,93906030,DPT 2 vaccination received,I,Total,971,1
76.4,796073,0,1,0,93906040,DPT 3 vaccination received,I,Total,971,1
91.2,796069,0,1,0,93906050,Polio 0 vaccination received,I,Total,971,1
