value,data_id,by_variable_id,precision,characteristic_order,indicator_order,indicator,indicator_type,characteristic_category,denominator_unweighted,is_preferred
50.1,795762,0,1,0,250261010,Households with an improved sanitation facility,I,Total,12247,1
38.3,795768,0,1,0,250261150,Households with an unimproved sanitation facility,I,Total,12247,1
31.2,795760,0,1,0,250261180,Households with a pit latrine without a slab or an open pit,I,Total,12247,1
6,795764,0,1,0,250261190,Households with a bucket toilet,I,Total,12247,1
11.6,795765,0,1,0,250261210,Households using open defecation,I,Total,12247,1
0.7,795766,0,1,0,250261220,Households with don't know or missing information on toilet facility,S,Total,12247,1
100,795767,0,1,0,250261230,Households total,T,Total,12247,1
12247,795272,0,0,0,250261240,Number of households,D,Total,12247,1
12247,796597.55,0,0,0,250261250,Number of households (unweighted),U,Total,25086,1
46.4,795102,0,1,0,250262010,Population with an improved sanitation facility,I,Total,52465,1
40.8,795108,0,1,0,250262150,Population with an unimproved sanitation facility,I,Total,52465,1
34.1,795103,0,1,0,250262180,Population with a pit latrine without a slab or an open pit,I,Total,52465,1
5.7,795104,0,1,0,250262190,Population with a bucket toilet,I,Total,52465,1
12.8,795106,0,1,0,250262210,Population using open defecation,I,Total,52465,1
0.7,795101,0,1,0,250262220,Population with don't know or missing information on toilet facility,S,Total,52465,1
100,795107,0,1,0,250262230,Population total,T,Total,52465,1
52007,795109,0,0,0,250262240,Number of persons,D,Total,52465,1
52258.899999999994,796597,0,0,0,250262250,Number of persons (unweighted),U,Total,25086,1
95.6,1862,0,1,0,250261010,Households with an improved sanitation facility,I,Total,11083,1
56.8,1859,0,1,0,250261020,Households with a flush or pour flush toilet to a piped sewer system,I,Total,11083,1
1.7,1863,0,1,0,250261030,Households with a flush or pour flush toilet to a septic tank,I,Total,11083,1
1.3,1860,0,1,0,250261040,Households with a flush or pour flush toilet to a pit latrine,I,Total,11083,1
26,1873,0,1,0,250261050,Households with a ventilated improved pit latrine (VIP),I,Total,11083,1
8,1874,0,1,0,250261060,Households with a pit latrine with a slab,I,Total,11083,1
1.1,1875,0,1,0,250261070,Households with a composting toilet,I,Total,11083,1
2,1857.45,0,1,0,250261150,Households with an unimproved sanitation facility,I,Total,11083,1
0.4,1858,0,1,0,250261170,"Households with a flush or pour flush toilet not to a sewer, septic tank or pit latrine",I,Total,11083,1
1.6,1867,0,1,0,250261190,Households with a bucket toilet,I,Total,11083,1
2.4,1868,0,1,0,250261210,Households using open defecation,I,Total,11083,1
100,1876,0,1,0,250261230,Households total,T,Total,11083,1
11083,1877,0,0,0,250261240,Number of households,D,Total,11083,1
11083,197792,0,0,0,250261250,Number of households (unweighted),U,Total,25086,1
96,456199,0,1,0,250262010,Population with an improved sanitation facility,I,Total,37925,1
54.3,456201,0,1,0,250262020,Population with a flush or pour flush toilet to a piped sewer system,I,Total,37925,1
1.4,456200,0,1,0,250262030,Population with a flush or pour flush toilet to a septic tank,I,Total,37925,1
0.9,456202,0,1,0,250262040,Population with a flush or pour flush toilet to a pit latrine,I,Total,37925,1
28.1,456196,0,1,0,250262050,Population with a ventilated improved pit latrine (VIP),I,Total,37925,1
9.9,456197,0,1,0,250262060,Population with a pit latrine with a slab,I,Total,37925,1
1,456198,0,1,0,250262070,Population with a composting toilet,I,Total,37925,1
1.7,456204,0,1,0,250262150,Population with an unimproved sanitation facility,I,Total,37925,1
0.4,456206,0,1,0,250262170,"Population with a flush or pour flush toilet not to a sewer, septic tank or pit latrine",I,Total,37925,1
1.4,456208,0,1,0,250262190,Population with a bucket toilet,I,Total,37925,1
2.2,456210,0,1,0,250262210,Population using open defecation,I,Total,37925,1
100,456205,0,1,0,250262230,Population total,T,Total,37925,1
37205,456207,0,0,0,250262240,Number of persons,D,Total,37925,1
37925,197793,0,0,0,250262250,Number of persons (unweighted),U,Total,25086,1
