value,data_id,by_variable_id,precision,characteristic_order,indicator_order,indicator,indicator_type,characteristic_category,denominator_unweighted,is_preferred
86.3,795195,0,1,0,250161010,Households using an improved water source,I,Total,12247,1
38.9,795196,0,1,0,250161020,Households using water piped into dwelling,I,Total,12247,1
19.5,795198,0,1,0,250161030,Households using a public tap/standpipe,I,Total,12247,1
3,795199,0,1,0,250161040,Households using a tubewell/borehole,I,Total,12247,1
0.7,795212,0,1,0,250161070,Households using rainwater,I,Total,12247,1
1,795201,0,1,0,250161074,Households using tanker truck,I,Total,12247,1
0.1,795207,0,1,0,250161080,Households using bottled water,I,Total,12247,1
13.2,795211,0,1,0,250161090,Households using an unimproved water source,I,Total,12247,1
11.8,795200,0,1,0,250161130,Households using surface water,I,Total,12247,1
1.4,795202,0,1,0,250161140,Households using other water source,I,Total,12247,1
0.5,795208,0,1,0,250161150,Households with don't know or missing information on water source,S,Total,12247,1
100,795213,0,1,0,250161160,Households: Total,T,Total,12247,1
83.5,795844,0,1,0,250162010,Population using an improved water source,I,Total,52465,1
36,795750,0,1,0,250162020,Population using water piped into dwelling,I,Total,52465,1
19.3,795740,0,1,0,250162030,Population using a public tap/standpipe,I,Total,52465,1
3.4,795756,0,1,0,250162040,Population using a tubewell/borehole,I,Total,52465,1
0.7,795757,0,1,0,250162070,Population using rainwater,I,Total,52465,1
0.9,795746,0,1,0,250162074,Population using tanker truck,I,Total,52465,1
0.1,795741,0,1,0,250162080,Population using bottled water/demi john,I,Total,52465,1
15.9,795751,0,1,0,250162090,Population using an unimproved water source,I,Total,52465,1
14.4,795745,0,1,0,250162130,Population using surface water,I,Total,52465,1
1.5,795747,0,1,0,250162140,Population using other water source,I,Total,52465,1
0.7,795748,0,1,0,250162150,Population with don't know or missing information on water source,S,Total,52465,1
100,795752,0,1,0,250162160,Population: Total,T,Total,52465,1
63.2,795209,0,1,0,250201010,Households with water on the premises,I,Total,12247,1
28.5,795214,0,1,0,250201020,Households with water 30 minutes or less away round trip,I,Total,12247,1
6.7,795203,0,1,0,250201030,Households with water more than 30 minutes away round trip,I,Total,12247,1
1.6,795204,0,1,0,250201040,Household with unknown or missing information on round trip time to water,S,Total,12247,1
100,795205,0,1,0,250201050,Households: Total,T,Total,12247,1
60.4,795742,0,1,0,250202010,Population with water on the premises,I,Total,52465,1
29.5,795753,0,1,0,250202020,Population with water 30 minutes or less away round trip,I,Total,52465,1
8.4,795743,0,1,0,250202030,Population with water more than 30 minutes away round trip,I,Total,52465,1
1.7,795758,0,1,0,250202040,Population with unknown or missing information on round trip time to water,S,Total,52465,1
100,795759,0,1,0,250202050,Population: Total,T,Total,52465,1
12247,795232,0,0,0,250231100,Number of households,D,Total,12247,1
12247,796539,0,0,0,250231110,Number of households (unweighted),U,Total,25086,1
52007,795270,0,0,0,250232100,Number of persons,D,Total,52465,1
52011.58,796539.57,0,0,0,250232110,Number of persons (unweighted),U,Total,25086,1
95.3,295311,0,1,0,250161010,Households using an improved water source,I,Total,11083,1
45.1,295317,0,1,0,250161020,Households using water piped into dwelling,I,Total,11083,1
14.1,295319,0,1,0,250161030,Households using a public tap/standpipe,I,Total,11083,1
2.8,295321,0,1,0,250161040,Households using a tubewell/borehole,I,Total,11083,1
0.2,295322,0,1,0,250161050,Households using a protected well,I,Total,11083,1
0.3,295313,0,1,0,250161060,Households using a protected spring,I,Total,11083,1
0.5,295329,0,1,0,250161070,Households using rainwater,I,Total,11083,1
2.1,295308,0,1,0,250161074,Households using tanker truck,I,Total,11083,1
0.9,295314,0,1,0,250161080,Households using bottled water,I,Total,11083,1
4.7,295328,0,1,0,250161090,Households using an unimproved water source,I,Total,11083,1
1.3,295312,0,1,0,250161100,Households using an unprotected well water,I,Total,11083,1
0.9,295306,0,1,0,250161110,Households using an unprotected spring,I,Total,11083,1
2.3,295307,0,1,0,250161130,Households using surface water,I,Total,11083,1
0.3,295310,0,1,0,250161140,Households using other water source,I,Total,11083,1
100,295330,0,1,0,250161160,Households: Total,T,Total,11083,1
93.4,414151,0,1,0,250162010,Population using an improved water source,I,Total,37925,1
45.5,414148,0,1,0,250162020,Population using water piped into dwelling,I,Total,37925,1
13.6,414152,0,1,0,250162030,Population using a public tap/standpipe,I,Total,37925,1
2.8,414161,0,1,0,250162040,Population using a tubewell/borehole,I,Total,37925,1
0.2,414162,0,1,0,250162050,Population using a protected well,I,Total,37925,1
0.4,414163,0,1,0,250162060,Population using a protected spring,I,Total,37925,1
0.5,414164,0,1,0,250162070,Population using rainwater,I,Total,37925,1
2,414172,0,1,0,250162074,Population using tanker truck,I,Total,37925,1
0.7,414177,0,1,0,250162080,Population using bottled water/demi john,I,Total,37925,1
6.6,414150,0,1,0,250162090,Population using an unimproved water source,I,Total,37925,1
1.8,414153,0,1,0,250162100,Population using an unprotected well water,I,Total,37925,1
1.2,414149,0,1,0,250162110,Population using an unprotected spring,I,Total,37925,1
3.4,414171,0,1,0,250162130,Population using surface water,I,Total,37925,1
0.2,414173,0,1,0,250162140,Population using other water source,I,Total,37925,1
100,414154,0,1,0,250162160,Population: Total,T,Total,37925,1
78.5,295315,0,1,0,250201010,Households with water on the premises,I,Total,11083,1
16.4,295331,0,1,0,250201020,Households with water 30 minutes or less away round trip,I,Total,11083,1
4.5,295323,0,1,0,250201030,Households with water more than 30 minutes away round trip,I,Total,11083,1
0.6,295324,0,1,0,250201040,Household with unknown or missing information on round trip time to water,S,Total,11083,1
100,295325,0,1,0,250201050,Households: Total,T,Total,11083,1
76.7,414178,0,1,0,250202010,Population with water on the premises,I,Total,37925,1
16.9,414155,0,1,0,250202020,Population with water 30 minutes or less away round trip,I,Total,37925,1
5.8,414179,0,1,0,250202030,Population with water more than 30 minutes away round trip,I,Total,37925,1
0.6,414166,0,1,0,250202040,Population with unknown or missing information on round trip time to water,S,Total,37925,1
100,414167,0,1,0,250202050,Population: Total,T,Total,37925,1
4.8,295327,0,1,0,250231010,Households treating water by boiling,I,Total,11083,1
1.2,295333,0,1,0,250231020,Households treating water by adding bleach/chlorine,I,Total,11083,1
0.1,295335,0,1,0,250231030,Households treating water by straining through a cloth,I,Total,11083,1
1.4,295334,0,1,0,250231040,"Households treating water using a ceramic, sand or other filter",I,Total,11083,1
0,295340,0,1,0,250231050,Households treating water using solar disinfection,I,Total,11083,1
0.7,295341,0,1,0,250231060,Households treating water using other methods,I,Total,11083,1
91.9,295342,0,1,0,250231070,Households not treating water,I,Total,11083,1
0,295343,0,1,0,250231080,Households with missing information on treatment of water,S,Total,11083,1
7.3,295344,0,1,0,250231090,Households using an appropriate treatment method,I,Total,11083,1
11083,197783.99,0,0,0,250231100,Number of households,D,Total,11083,1
11083,295339,0,0,0,250231110,Number of households (unweighted),U,Total,25086,1
4.6,414168,0,1,0,250232010,Population treating water by boiling,I,Total,37925,1
1.3,414169,0,1,0,250232020,Population treating water by adding bleach/chlorine,I,Total,37925,1
0,414181,0,1,0,250232030,Population treating water by straining through a cloth,I,Total,37925,1
1.2,414157,0,1,0,250232040,"Population treating water using a ceramic, sand or other filter",I,Total,37925,1
0,414182,0,1,0,250232050,Population treating water using solar disinfection,I,Total,37925,1
0.8,414159,0,1,0,250232060,Population treating water using other methods,I,Total,37925,1
92.2,414183,0,1,0,250232070,Population not treating water,I,Total,37925,1
0,414175,0,1,0,250232080,Population with missing information on treatment of water,S,Total,37925,1
6.9,414176,0,1,0,250232090,Population using an appropriate treatment method,I,Total,37925,1
37205,197784,0,0,0,250232100,Number of persons,D,Total,37925,1
37925,414186,0,0,0,250232110,Number of persons (unweighted),U,Total,25086,1
