indicator,value,survey_year,indicator_type,is_preferred,denominator_weighted,denominator_unweighted
Women with secondary or higher education,11.8,2016,I,1,8514,11805
Women who can read a whole sentence,76.2,2016,I,1,8514,11805
Women who can read part of a sentence,8.2,2016,I,1,8514,11805
Women who cannot read at all,3.5,2016,I,1,8514,11805
Women for whom no card with required language was available,0.1,2016,I,1,8514,11805
Women who are blind/visually impaired,0.1,2016,I,1,8514,11805
Women's literacy: Total,100,2016,T,1,8514,11805
Women who are literate,96.3,2016,I,1,8514,11805
Number of women,8514,2016,D,1,NA,11805
Number of women (unweighted),11179.709999999995,2016,U,1,8514,NA
Men with secondary or higher education,10.8,2016,I,1,3202,3179
Men who can read a whole sentence,71.4,2016,I,1,3202,3179
Men who can read part of a sentence,12.8,2016,I,1,3202,3179
Men who cannot read at all,4.9,2016,I,1,3202,3179
Men for whom no card with required language was available,0.1,2016,I,1,3202,3179
Men who are blind/visually impaired,0.018999999999999996,2016,I,1,3202,3179
Men's literacy: Total,100,2016,T,1,3202,3179
Men who are literate,94.9,2016,I,1,3202,3179
Number of men,3202,2016,D,1,NA,3179
Number of men (unweighted),3179,2016,U,1,3202,NA
