iso3,data_id,indicator,value,precision,dhs_country_code,country_name,survey_year,survey_id,indicator_id,indicator_order,indicator_type,characteristic_id,characteristic_order,characteristic_category,characteristic_label,by_variable_id,by_variable_label,is_total,is_preferred,sdrid,region_id,survey_year_label,survey_type,denominator_weighted,denominator_unweighted,ci_low,ci_high,level_rank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,NA,#country+name,#date+year,#survey+id,#indicator+code,NA,NA,NA,NA,NA,NA,#indicator+label+code,#indicator+label,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAF,330965,BCG vaccination received,96.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_BCG,100,I,100,100,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCBCG,NA,100,DHS,100,100,NA,NA,NA
ZAF,139796,BCG vaccination received,94.9,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_BCG,100,I,100,100,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCBCG,NA,100,DHS,100,100,NA,NA,NA
ZAF,330966,DPT 1 vaccination received,93.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_DP1,100,I,100,100,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCDP1,NA,100,DHS,100,100,NA,NA,NA
ZAF,139797,DPT 1 vaccination received,93.1,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_DP1,100,I,100,100,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCDP1,NA,100,DHS,100,100,NA,NA,NA
ZAF,330967,DPT 2 vaccination received,86.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_DP2,100,I,100,100,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCDP2,NA,100,DHS,100,100,NA,NA,NA
ZAF,139798,DPT 2 vaccination received,82.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_DP2,100,I,100,100,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCDP2,NA,100,DHS,100,100,NA,NA,NA
ZAF,330969,DPT 3 vaccination received,76.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_DP3,100,I,100,100,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCDP3,NA,100,DHS,100,100,NA,NA,NA
ZAF,139793,DPT 3 vaccination received,73.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_DP3,100,I,100,100,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCDP3,NA,100,DHS,100,100,NA,NA,NA
ZAF,330968,Polio 0 vaccination received,91.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_OP0,100,I,100,100,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCOP0,NA,100,DHS,100,100,NA,NA,NA
ZAF,139792,Polio 0 vaccination received,87.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_OP0,100,I,100,100,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCOP0,NA,100,DHS,100,100,NA,NA,NA
ZAF,330973,Polio 1 vaccination received,91,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_OP1,100,I,100,100,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCOP1,NA,100,DHS,100,100,NA,NA,NA
ZAF,139795,Polio 1 vaccination received,89,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_OP1,100,I,100,100,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCOP1,NA,100,DHS,100,100,NA,NA,NA
ZAF,330976,Polio 2 vaccination received,82.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_OP2,100,I,100,100,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCOP2,NA,100,DHS,100,100,NA,NA,NA
ZAF,139854,Polio 2 vaccination received,80,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_OP2,100,I,100,100,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCOP2,NA,100,DHS,100,100,NA,NA,NA
ZAF,330974,Polio 3 vaccination received,72.1,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_OP3,100,I,100,100,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCOP3,NA,100,DHS,100,100,NA,NA,NA
ZAF,139852,Polio 3 vaccination received,68.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_OP3,100,I,100,100,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCOP3,NA,100,DHS,100,100,NA,NA,NA
ZAF,330975,Measles vaccination received,82.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_MSL,100,I,100,100,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCMSL,NA,100,DHS,100,100,NA,NA,NA
ZAF,139853,Measles vaccination received,87.6,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_MSL,100,I,100,100,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCMSL,NA,100,DHS,100,100,NA,NA,NA
ZAF,330970,Fully vaccinated (8 basic antigens),63.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_BAS,100,I,100,100,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCBAS,NA,100,DHS,100,100,NA,NA,NA
ZAF,139816,Fully vaccinated (8 basic antigens),62.6,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_BAS,100,I,100,100,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCBAS,NA,100,DHS,100,100,NA,NA,NA
ZAF,330971,Received no vaccinations,2.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_NON,100,I,100,100,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCNON,NA,100,DHS,100,100,NA,NA,NA
ZAF,139817,Received no vaccinations,3.9,1,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_NON,100,I,100,100,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCNON,NA,100,DHS,100,100,NA,NA,NA
ZAF,139862,Number of children 12-23 months,973,0,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_NUM,100,D,100,100,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCNUM,NA,100,DHS,NA,100,NA,NA,NA
ZAF,139826,Number of children 12-23 months,933,0,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_NUM,100,D,100,100,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCNUM,NA,100,DHS,NA,100,NA,NA,NA
ZAF,330972,Number of children 12-23 months (unweighted),971,0,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_UNW,100,U,100,100,Source of vaccination information,Either source,258001,12-23,1,1,CHVACSCUNW,NA,100,DHS,100,NA,NA,NA,NA
ZAF,139839,Number of children 12-23 months (unweighted),951,0,ZA,South Africa,1998,ZA1998DHS,CH_VACS_C_UNW,100,U,100,100,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCUNW,NA,100,DHS,100,NA,NA,NA,NA
ZAF,796064,BCG vaccination received,96.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BCG,100,I,100,0,Total,Total,0,NA,1,1,CHVACCCBCG,NA,100,DHS,100,100,NA,NA,NA
ZAF,796068,DPT 1 vaccination received,93.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP1,100,I,100,0,Total,Total,0,NA,1,1,CHVACCCDP1,NA,100,DHS,100,100,NA,NA,NA
ZAF,796065,DPT 2 vaccination received,86.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP2,100,I,100,0,Total,Total,0,NA,1,1,CHVACCCDP2,NA,100,DHS,100,100,NA,NA,NA
ZAF,796073,DPT 3 vaccination received,76.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP3,100,I,100,0,Total,Total,0,NA,1,1,CHVACCCDP3,NA,100,DHS,100,100,NA,NA,NA
ZAF,796069,Polio 0 vaccination received,91.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP0,100,I,100,0,Total,Total,0,NA,1,1,CHVACCCOP0,NA,100,DHS,100,100,NA,NA,NA
ZAF,796070,Polio 1 vaccination received,91,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP1,100,I,100,0,Total,Total,0,NA,1,1,CHVACCCOP1,NA,100,DHS,100,100,NA,NA,NA
ZAF,796071,Polio 2 vaccination received,82.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP2,100,I,100,0,Total,Total,0,NA,1,1,CHVACCCOP2,NA,100,DHS,100,100,NA,NA,NA
ZAF,796072,Polio 3 vaccination received,72.1,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP3,100,I,100,0,Total,Total,0,NA,1,1,CHVACCCOP3,NA,100,DHS,100,100,NA,NA,NA
ZAF,796074,Measles vaccination received,82.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_MSL,100,I,100,0,Total,Total,0,NA,1,1,CHVACCCMSL,NA,100,DHS,100,100,NA,NA,NA
ZAF,796066,Fully vaccinated (8 basic antigens),63.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BAS,100,I,100,0,Total,Total,0,NA,1,1,CHVACCCBAS,NA,100,DHS,100,100,NA,NA,NA
ZAF,796075,Received no vaccinations,2.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_NON,100,I,100,0,Total,Total,0,NA,1,1,CHVACCCNON,NA,100,DHS,100,100,NA,NA,NA
ZAF,796079,Number of children 12-23 months,973,0,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_NUM,100,D,100,0,Total,Total,0,NA,1,1,CHVACCCNUM,NA,100,DHS,NA,100,NA,NA,NA
ZAF,796699,Number of children 12-23 months (unweighted),971,0,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_UNW,100,U,100,0,Total,Total,0,NA,1,1,CHVACCCUNW,NA,100,DHS,100,NA,NA,NA,NA
ZAF,795173,BCG vaccination received in first year,94.1,1,ZA,South Africa,1998,ZA1998DHS,CH_VAC1_C_BCG,100,I,100,0,Total,Total,0,NA,1,1,CHVAC1CBCG,NA,100,DHS,100,100,NA,NA,NA
ZAF,795174,DPT 1 vaccination received in first year,91.1,1,ZA,South Africa,1998,ZA1998DHS,CH_VAC1_C_DP1,100,I,100,0,Total,Total,0,NA,1,1,CHVAC1CDP1,NA,100,DHS,100,100,NA,NA,NA
ZAF,795175,DPT 2 vaccination received in first year,80.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VAC1_C_DP2,100,I,100,0,Total,Total,0,NA,1,1,CHVAC1CDP2,NA,100,DHS,100,100,NA,NA,NA
ZAF,795179,DPT 3 vaccination received in first year,70.5,1,ZA,South Africa,1998,ZA1998DHS,CH_VAC1_C_DP3,100,I,100,0,Total,Total,0,NA,1,1,CHVAC1CDP3,NA,100,DHS,100,100,NA,NA,NA
ZAF,795176,Polio 0 vaccination received in first year,84.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VAC1_C_OP0,100,I,100,0,Total,Total,0,NA,1,1,CHVAC1COP0,NA,100,DHS,100,100,NA,NA,NA
ZAF,795172,Polio 1 vaccination received in first year,87.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VAC1_C_OP1,100,I,100,0,Total,Total,0,NA,1,1,CHVAC1COP1,NA,100,DHS,100,100,NA,NA,NA
ZAF,795177,Polio 2 vaccination received in first year,78,1,ZA,South Africa,1998,ZA1998DHS,CH_VAC1_C_OP2,100,I,100,0,Total,Total,0,NA,1,1,CHVAC1COP2,NA,100,DHS,100,100,NA,NA,NA
ZAF,795183,Polio 3 vaccination received in first year,62.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VAC1_C_OP3,100,I,100,0,Total,Total,0,NA,1,1,CHVAC1COP3,NA,100,DHS,100,100,NA,NA,NA
