iso3,data_id,indicator,value,precision,dhs_country_code,country_name,survey_year,survey_id,indicator_id,indicator_order,indicator_type,characteristic_id,characteristic_order,characteristic_category,characteristic_label,by_variable_id,by_variable_label,is_total,is_preferred,sdrid,region_id,survey_year_label,survey_type,denominator_weighted,denominator_unweighted,ci_low,ci_high,level_rank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,NA,#country+name,#date+year,#survey+id,#indicator+code,NA,NA,NA,NA,NA,NA,#indicator+label+code,#indicator+label,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAF,563770,Women with secondary or higher education,11.8,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_SCH,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRWSCH,NA,100,DHS,100,100,NA,NA,NA
ZAF,563771,Women who can read a whole sentence,76.2,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_RDW,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRWRDW,NA,100,DHS,100,100,NA,NA,NA
ZAF,563772,Women who can read part of a sentence,8.2,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_RDP,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRWRDP,NA,100,DHS,100,100,NA,NA,NA
ZAF,563773,Women who cannot read at all,3.5,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_NRD,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRWNRD,NA,100,DHS,100,100,NA,NA,NA
ZAF,563769,Women for whom no card with required language was available,0.1,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_NCD,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRWNCD,NA,100,DHS,100,100,NA,NA,NA
ZAF,563774,Women who are blind/visually impaired,0.1,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_BLD,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRWBLD,NA,100,DHS,100,100,NA,NA,NA
ZAF,563775,Women's literacy: Total,100,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_TOT,100,T,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRWTOT,NA,100,DHS,100,100,NA,NA,NA
ZAF,563776,Women who are literate,96.3,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_LIT,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRWLIT,NA,100,DHS,100,100,NA,NA,NA
ZAF,569331,Number of women,8514,0,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_NUM,100,D,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRWNUM,NA,100,DHS,NA,100,NA,NA,NA
ZAF,354034,Number of women (unweighted),11805,0,ZA,South Africa,2016,ZA2016DHS,ED_LITR_W_UNW,100,U,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRWUNW,NA,100,DHS,100,NA,NA,NA,NA
ZAF,494492,Men with secondary or higher education,10.8,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_SCH,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRMSCH,NA,100,DHS,100,100,NA,NA,NA
ZAF,494494,Men who can read a whole sentence,71.4,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_RDW,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRMRDW,NA,100,DHS,100,100,NA,NA,NA
ZAF,494493,Men who can read part of a sentence,12.8,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_RDP,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRMRDP,NA,100,DHS,100,100,NA,NA,NA
ZAF,494495,Men who cannot read at all,4.9,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_NRD,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRMNRD,NA,100,DHS,100,100,NA,NA,NA
ZAF,494489,Men for whom no card with required language was available,0.1,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_NCD,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRMNCD,NA,100,DHS,100,100,NA,NA,NA
ZAF,494490,Men who are blind/visually impaired,0,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_BLD,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRMBLD,NA,100,DHS,100,100,NA,NA,NA
ZAF,494491,Men's literacy: Total,100,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_TOT,100,T,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRMTOT,NA,100,DHS,100,100,NA,NA,NA
ZAF,494496,Men who are literate,94.9,1,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_LIT,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRMLIT,NA,100,DHS,100,100,NA,NA,NA
ZAF,498913,Number of men,3202,0,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_NUM,100,D,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRMNUM,NA,100,DHS,NA,100,NA,NA,NA
ZAF,326141,Number of men (unweighted),3179,0,ZA,South Africa,2016,ZA2016DHS,ED_LITR_M_UNW,100,U,100,100,Total 15-49,Total 15-49,0,NA,1,1,EDLITRMUNW,NA,100,DHS,100,NA,NA,NA,NA
