iso3,data_id,indicator,value,precision,dhs_country_code,country_name,survey_year,survey_id,indicator_id,indicator_order,indicator_type,characteristic_id,characteristic_order,characteristic_category,characteristic_label,by_variable_id,by_variable_label,is_total,is_preferred,sdrid,region_id,survey_year_label,survey_type,denominator_weighted,denominator_unweighted,ci_low,ci_high,level_rank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,NA,#country+name,#date+year,#survey+id,#indicator+code,NA,NA,NA,NA,NA,NA,#indicator+label+code,#indicator+label,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAF,91409,Female deaths that are pregnancy-related,5.5,1,ZA,South Africa,1998,ZA1998DHS,MM_MMRT_W_FDP,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,MMMMRTWFDP,NA,100,DHS,NA,NA,NA,NA,NA
ZAF,91377,Number of pregnancy-related deaths,19,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRT_W_PDT,100,N,100,100,Total 15-49,Total 15-49,0,NA,1,1,MMMMRTWPDT,NA,100,DHS,NA,NA,NA,NA,NA
ZAF,768646,Years of exposure to the risk of mortality for women,122701,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRT_W_EXP,100,D,100,100,Total 15-49,Total 15-49,0,NA,1,1,MMMMRTWEXP,NA,100,DHS,NA,100,NA,NA,NA
ZAF,768647,Years of exposure to the risk of mortality for women (unweighted),123738,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRT_W_EXU,100,U,100,100,Total 15-49,Total 15-49,0,NA,1,1,MMMMRTWEXU,NA,100,DHS,NA,100,NA,NA,NA
ZAF,535566,Pregnancy-related mortality rate,0.15,2,ZA,South Africa,1998,ZA1998DHS,MM_MMRT_W_PRT,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,MMMMRTWPRT,NA,100,DHS,100,100,NA,NA,NA
ZAF,796695,General fertility rate,97,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRO_W_GFR,100,I,100,0,Total,Total,0,NA,1,1,MMMMROWGFR,NA,100,DHS,NA,NA,NA,NA,NA
ZAF,713103,Pregnancy-related mortality ratio,150,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRO_W_PMR,100,I,100,0,Total,Total,0,NA,1,1,MMMMROWPMR,NA,100,DHS,NA,NA,77,100,NA
ZAF,796696,Pregnancy-related mortality ratio CI lower bound (PRMR-2SE),77,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRO_W_PIL,100,C,100,0,Total,Total,0,NA,1,1,MMMMROWPIL,NA,100,DHS,NA,NA,NA,NA,NA
ZAF,796698,Pregnancy-related mortality ratio CI upper bound (PRMR+2SE),223,0,ZA,South Africa,1998,ZA1998DHS,MM_MMRO_W_PIH,100,C,100,0,Total,Total,0,NA,1,1,MMMMROWPIH,NA,100,DHS,NA,NA,NA,NA,NA
ZAF,796697,Lifetime risk of pregnancy-related death,0.005,3,ZA,South Africa,1998,ZA1998DHS,MM_MMRO_W_LTP,100,I,100,0,Total,Total,0,NA,1,1,MMMMROWLTP,NA,100,DHS,NA,NA,NA,NA,NA
ZAF,169721,Female deaths that are pregnancy-related,7.8,1,ZA,South Africa,2016,ZA2016DHS,MM_MMRT_W_FDP,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,MMMMRTWFDP,NA,100,DHS,NA,NA,NA,NA,NA
ZAF,169709,Number of pregnancy-related deaths,31,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRT_W_PDT,100,N,100,100,Total 15-49,Total 15-49,0,NA,1,1,MMMMRTWPDT,NA,100,DHS,NA,NA,NA,NA,NA
ZAF,169751,Years of exposure to the risk of mortality for women,62768,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRT_W_EXP,100,D,100,100,Total 15-49,Total 15-49,0,NA,1,1,MMMMRTWEXP,NA,100,DHS,NA,100,NA,NA,NA
ZAF,169752,Years of exposure to the risk of mortality for women (unweighted),63523,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRT_W_EXU,100,U,100,100,Total 15-49,Total 15-49,0,NA,1,1,MMMMRTWEXU,NA,100,DHS,NA,100,NA,NA,NA
ZAF,530323,Pregnancy-related mortality rate,0.47,2,ZA,South Africa,2016,ZA2016DHS,MM_MMRT_W_PRT,100,I,100,100,Total 15-49,Total 15-49,0,NA,1,1,MMMMRTWPRT,NA,100,DHS,100,100,NA,NA,NA
ZAF,169698,General fertility rate,88,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_GFR,100,I,100,0,Total,Total,0,NA,1,1,MMMMROWGFR,NA,100,DHS,NA,NA,NA,NA,NA
ZAF,171595,Pregnancy-related mortality ratio,536,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_PMR,100,I,100,0,Total,Total,0,NA,1,1,MMMMROWPMR,NA,100,DHS,NA,NA,100,100,NA
ZAF,169715,Pregnancy-related mortality ratio CI lower bound (PRMR-2SE),270,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_PIL,100,C,100,0,Total,Total,0,NA,1,1,MMMMROWPIL,NA,100,DHS,NA,NA,NA,NA,NA
ZAF,169705,Pregnancy-related mortality ratio CI upper bound (PRMR+2SE),802,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_PIH,100,C,100,0,Total,Total,0,NA,1,1,MMMMROWPIH,NA,100,DHS,NA,NA,NA,NA,NA
ZAF,169716,Lifetime risk of pregnancy-related death,0.015,3,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_LTP,100,I,100,0,Total,Total,0,NA,1,1,MMMMROWLTP,NA,100,DHS,NA,NA,NA,NA,NA
ZAF,773982,Maternal mortality ratio,475,0,ZA,South Africa,2016,ZA2016DHS,MM_MMRO_W_MMR,100,I,100,0,Total,Total,0,NA,1,1,MMMMROWMMR,NA,100,DHS,NA,NA,100,100,NA
