iso3,data_id,indicator,value,precision,dhs_country_code,country_name,survey_year,survey_id,indicator_id,indicator_order,indicator_type,characteristic_id,characteristic_order,characteristic_category,characteristic_label,by_variable_id,by_variable_label,is_total,is_preferred,sdrid,region_id,survey_year_label,survey_type,denominator_weighted,denominator_unweighted,ci_low,ci_high,level_rank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,NA,#country+name,#date+year,#survey+id,#indicator+code,NA,NA,NA,NA,NA,NA,#indicator+label+code,#indicator+label,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAF,795762,Households with an improved sanitation facility,50.1,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_IMP,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHIMP,NA,100,DHS,100,100,NA,NA,NA
ZAF,795768,Households with an unimproved sanitation facility,38.3,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_NIM,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHNIM,NA,100,DHS,100,100,NA,NA,NA
ZAF,795760,Households with a pit latrine without a slab or an open pit,31.2,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_NPT,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHNPT,NA,100,DHS,100,100,NA,NA,NA
ZAF,795764,Households with a bucket toilet,6,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_NBK,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHNBK,NA,100,DHS,100,100,NA,NA,NA
ZAF,795765,Households using open defecation,11.6,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_NFC,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHNFC,NA,100,DHS,100,100,NA,NA,NA
ZAF,795766,Households with don't know or missing information on toilet facility,0.7,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_DKM,100,S,100,0,Total,Total,0,NA,1,1,WSTLETHDKM,NA,100,DHS,100,100,NA,NA,NA
ZAF,795767,Households total,100,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_TOT,100,T,100,0,Total,Total,0,NA,1,1,WSTLETHTOT,NA,100,DHS,100,100,NA,NA,NA
ZAF,795272,Number of households,12247,0,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_NUM,100,D,100,0,Total,Total,0,NA,1,1,WSTLETHNUM,NA,100,DHS,NA,100,NA,NA,NA
ZAF,796598,Number of households (unweighted),12247,0,ZA,South Africa,1998,ZA1998DHS,WS_TLET_H_UNW,100,U,100,0,Total,Total,0,NA,1,1,WSTLETHUNW,NA,100,DHS,100,NA,NA,NA,NA
ZAF,795102,Population with an improved sanitation facility,46.4,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_P_IMP,100,I,100,0,Total,Total,0,NA,1,1,WSTLETPIMP,NA,100,DHS,100,100,NA,NA,NA
ZAF,795108,Population with an unimproved sanitation facility,40.8,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_P_NIM,100,I,100,0,Total,Total,0,NA,1,1,WSTLETPNIM,NA,100,DHS,100,100,NA,NA,NA
ZAF,795103,Population with a pit latrine without a slab or an open pit,34.1,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_P_NPT,100,I,100,0,Total,Total,0,NA,1,1,WSTLETPNPT,NA,100,DHS,100,100,NA,NA,NA
ZAF,795104,Population with a bucket toilet,5.7,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_P_NBK,100,I,100,0,Total,Total,0,NA,1,1,WSTLETPNBK,NA,100,DHS,100,100,NA,NA,NA
ZAF,795106,Population using open defecation,12.8,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_P_NFC,100,I,100,0,Total,Total,0,NA,1,1,WSTLETPNFC,NA,100,DHS,100,100,NA,NA,NA
ZAF,795101,Population with don't know or missing information on toilet facility,0.7,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_P_DKM,100,S,100,0,Total,Total,0,NA,1,1,WSTLETPDKM,NA,100,DHS,100,100,NA,NA,NA
ZAF,795107,Population total,100,1,ZA,South Africa,1998,ZA1998DHS,WS_TLET_P_TOT,100,T,100,0,Total,Total,0,NA,1,1,WSTLETPTOT,NA,100,DHS,100,100,NA,NA,NA
ZAF,795109,Number of persons,52007,0,ZA,South Africa,1998,ZA1998DHS,WS_TLET_P_NUM,100,D,100,0,Total,Total,0,NA,1,1,WSTLETPNUM,NA,100,DHS,NA,100,NA,NA,NA
ZAF,796597,Number of persons (unweighted),52465,0,ZA,South Africa,1998,ZA1998DHS,WS_TLET_P_UNW,100,U,100,0,Total,Total,0,NA,1,1,WSTLETPUNW,NA,100,DHS,100,NA,NA,NA,NA
ZAF,1862,Households with an improved sanitation facility,95.6,1,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_IMP,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHIMP,NA,100,DHS,100,100,NA,NA,NA
ZAF,1859,Households with a flush or pour flush toilet to a piped sewer system,56.8,1,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_FSW,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHFSW,NA,100,DHS,100,100,NA,NA,NA
ZAF,1863,Households with a flush or pour flush toilet to a septic tank,1.7,1,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_FSP,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHFSP,NA,100,DHS,100,100,NA,NA,NA
ZAF,1860,Households with a flush or pour flush toilet to a pit latrine,1.3,1,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_FPT,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHFPT,NA,100,DHS,100,100,NA,NA,NA
ZAF,1873,Households with a ventilated improved pit latrine (VIP),26,1,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_VIP,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHVIP,NA,100,DHS,100,100,NA,NA,NA
ZAF,1874,Households with a pit latrine with a slab,8,1,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_PSL,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHPSL,NA,100,DHS,100,100,NA,NA,NA
ZAF,1875,Households with a composting toilet,1.1,1,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_COM,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHCOM,NA,100,DHS,100,100,NA,NA,NA
ZAF,1857,Households with an unimproved sanitation facility,2,1,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_NIM,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHNIM,NA,100,DHS,100,100,NA,NA,NA
ZAF,1858,"Households with a flush or pour flush toilet not to a sewer, septic tank or pit latrine",0.4,1,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_NFL,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHNFL,NA,100,DHS,100,100,NA,NA,NA
ZAF,1867,Households with a bucket toilet,1.6,1,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_NBK,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHNBK,NA,100,DHS,100,100,NA,NA,NA
ZAF,1868,Households using open defecation,2.4,1,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_NFC,100,I,100,0,Total,Total,0,NA,1,1,WSTLETHNFC,NA,100,DHS,100,100,NA,NA,NA
ZAF,1876,Households total,100,1,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_TOT,100,T,100,0,Total,Total,0,NA,1,1,WSTLETHTOT,NA,100,DHS,100,100,NA,NA,NA
ZAF,1877,Number of households,11083,0,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_NUM,100,D,100,0,Total,Total,0,NA,1,1,WSTLETHNUM,NA,100,DHS,NA,100,NA,NA,NA
ZAF,197792,Number of households (unweighted),11083,0,ZA,South Africa,2016,ZA2016DHS,WS_TLET_H_UNW,100,U,100,0,Total,Total,0,NA,1,1,WSTLETHUNW,NA,100,DHS,100,NA,NA,NA,NA
